,abstract,applicant,assignee,date_filed,date_issued,inventor,p_num,title,type,url
762,"An online system allows a user to provide information for accessing the online system to a third party system, which communicates the information to the online system. Based on the received information, the online system determines whether the user is authorized to access the third party system. Additionally, the online system determines whether an application is associated with the third party system. When determining whether an application is associated with the third party system, the online system may also account for characteristics of a client device associated with the user. If an application is associated with the third party system, the online system sends information for installing the application to the client device associated with the user.",,"FACEBOOK, INC.","September 29, 2014","June 6, 2017",Simon Cross,20160092186,Identification of an application associated with a third party system and transmission of application installation information to a user by an online system,Grant,https://patents.justia.com/patent/9672021
763,"Techniques for substituting references to content shared within the social networking system. In an embodiment, a first reference to a first version of content is received. A second version of the content is selected based on at least one optimization objective. A second reference to the second version of the content is created for provision to a user of a social networking system. The second reference is provided for the user. The at least one optimization objective includes at least one of a business objective, a technical objective, and a legal objective. The content may include at least one of video and audio.",,"FACEBOOK, INC.","October 10, 2016","June 6, 2017","Peter Hunt, Justin Alexander Shaffer",20170054829,Systems and methods for substituting references to content,Grant,https://patents.justia.com/patent/9674304
764,"Disclosed is a technology for publishing subscriptions in a publish-subscribe system in accordance with subscription groups. The technology may include (i) determining a consumption characteristic by which each of multiple subscribers in a publish-subscribe system consumes a subscription published by a publisher; (ii) identifying the subscribers whose consumption characteristics satisfy a specified similarity criterion; (iii) defining multiple subscription groups, each of which includes subscriptions of those of the subscribers whose consumption characteristics satisfy the specified similarity criterion; (iv) storing the subscriptions in multiple logical partitions of a storage system where each of the logical partitions contains a separate non-overlapping subset of the subscriptions; and (v) transmitting the subscriptions to the subscribers in accordance with the subscription groups.",,"FACEBOOK, INC.","April 7, 2016","June 6, 2017","Harry C. Li, Philippe Vincent Ajoux, Laurent Demailly, Liat Atsmon Guz, Yee Jiun Song, Sabyasachi Roy, Sanjeev Kumar",20160226991,Subscription groups in publish-subscribe system,Grant,https://patents.justia.com/patent/9674291
765,"In particular embodiments, a social networking system identifies a user viewing video content on a first display device, identifies the video content being viewed on the first display device by the user, and determines a second display device associated with the identified user. The social networking system sends one or more instructions to the determined second display device to display one or more chat messages associated with the identified video content.",,"FACEBOOK, INC.","November 2, 2015","June 6, 2017","Ime Archibong, Gregory Joseph Badros, Colin Cameron Brennan Campbell, David Harry Garcia, Mark Heynen, Brian Krausz, Cameron Alexander Marlow, Erick Tseng, Yoon Kean Wong",20160072758,Sharing television and video programming through social networking,Grant,https://patents.justia.com/patent/9674135
766,"Groups of users of a social networking system are categorized based on their association with a type of malicious activity. A set of predetermined malicious groups is identified. Users associated with the malicious groups are selected based on their level of interactions with the malicious groups. Other groups associated with the selected users are identified as being potentially malicious groups. The potentially malicious groups are further analyzed based on occurrences of keywords associated with the type of malicious activity and manual verification by experts. The potentially malicious groups are either classified as being malicious or non-malicious or assigned a score based on their likelihood of being associated with the type of malicious activity. The methods and system disclosed can be used for categorizing other types of social network objects based on their association with a type of malicious activity, for example, users, events, and content.",,"FACEBOOK, INC.","April 4, 2014","June 6, 2017","Daniel Leon Kelmenson, David Stewart Willner",20140222821,Categorizing social network objects based on user affiliations,Grant,https://patents.justia.com/patent/9672284
767,"In one embodiment, a social-networking system authenticates a user of a mobile device, receives a request from the mobile device to install a software application, transmits data to the mobile device comprising the software application and an installation identifier (ID), receives another request including the installation ID from the mobile device to authorize the software application, evaluates the installation ID for validity, and transmits yet another response to the mobile device in accordance with the evaluation.",,"FACEBOOK, INC.","March 20, 2012","June 6, 2017","Thomas Alison, Micha Berdichevsky, Bosmat Eldar, Shashank Pandit",20130254849,Bypass login for applications on mobile devices,Grant,https://patents.justia.com/patent/9672574
768,Systems and methods for digital video stabilization via constraint-based rotation smoothing are provided. Digital video data including a set of image frames having associated time stamps and a set of camera orientation data having associated time stamps may be provided. A smoothed set of camera orientation data may be generated by minimizing a rate of rotation between successive image frames while minimizing an amount of empty regions in a resulting set of smoothed image frames reoriented based on the smoothed set of camera orientation data.,,"FACEBOOK, INC.","April 16, 2015","June 6, 2017",Alexandre Karpenko,20150222818,Systems and methods for digital video stabilization via constraint-based rotation smoothing,Grant,https://patents.justia.com/patent/9674440
769,"Techniques to manage client location detection are described. In one embodiment an apparatus may comprise a location-based services support component and a client management component. The location-based services support component may be operative to determine that a network service is scheduled for a location update from a mobile device, determine a location accuracy based on the network service, and update the network service with a received location of the mobile device. The client management component may be operative to transmit a location request to the mobile device, the location request specifying the location accuracy determined based on the network service and receive a response to the location request from the mobile device, the response comprising the location of the mobile device conforming to the specified location accuracy. Other embodiments are described and claimed.",,"FACEBOOK, INC.","March 3, 2015","June 6, 2017","Andrea Vaccari, Yuntao Jia, Pierre Moreels, Matthew Robert Mallozzi, Gabriel Grise, Islam Ismailov",20160261979,Techniques to manage client location detection,Grant,https://patents.justia.com/patent/9674653
770,"In one embodiment, a portable, networked, computing device comprises a processor, a plurality of radios, and a memory. The device may be operable to pair, by at least one of the radios, with a device associated with a user. The device may then monitor, by one of the radios, a signal for a connection established with a first network. When the device determines that the signal for the first network has dropped below a threshold level of quality, it may enable access point mode for at least one of the paired devices by turning on a radio to establish a connection with a second network and thereby providing connectivity to the second network for the at least one of the paired devices. If multiple networks are available, the device may select an optimal network based on an assessment of one or more factors.",,"FACEBOOK, INC.","June 10, 2013","June 6, 2017","Yael G. Maguire, Giovanni Coglitore, Caitlin E. Kalinowski",20140280985,Portable platform for networked computing,Grant,https://patents.justia.com/patent/9674751
771,"A system and method may handle the supervision of the connectivity of a virtual private network (VPN) of a mobile device that is configured to connect through a plurality of network interfaces. A server may configure the mobile device to send a request for data item. The server may track the response of the mobile device to the request. According to one embodiment, the VPN may not be connected through a preferred network interface, while such interface is available. In such case, the data item may be routed through the preferred network and therefore not received by the VPN server within a predetermined period of time. According to another embodiment, the server may identify an internal IP address of the data item. The server may be configured to determine the current network interface based on the internal IP address. The server may disconnect the VPN to permit the VPN to reconnect through the preferred network interface.",,"FACEBOOK, INC.","March 12, 2014","June 6, 2017","Roi Tiger, Gadi Elishayov, Eran Friedman, Lior Tubi",20140280797,System and method for establishing a virtual private network of a mobile device through a preferred network,Grant,https://patents.justia.com/patent/9674149
772,"Methods, apparatuses and systems directed to detecting objects in user-uploaded multimedia such as photos and videos, determining the location at which the media was captured, inferring a set of users of a social network who were physically present at the time and place of capture, and pushing remarketing content to the set of inferred users for the detected objects, or alternatively, the competitors of the detected concepts.",,"FACEBOOK, INC.","August 18, 2011","June 6, 2017","Justin Mitchell, Samuel Odio, David Harry Garcia",20130046823,Computer-vision content detection for connecting objects in media to users,Grant,https://patents.justia.com/patent/9672496
773,"In particular embodiments a social networking system captures data associated with video content provided to a first user of a social-networking system, identifies, using the captured data, the video content provided to the first user, and updates a graph of the social-networking system to associate the first user with the identified video content. The graph of the social-networking system has a plurality of nodes and edges connecting the nodes. The nodes of the graph include user nodes that are each associated with a particular user of the social-networking system.",,"FACEBOOK, INC.","November 29, 2012","May 30, 2017","Ime Archibong, Gregory Joseph Badros, Sean Michael Bruich, Robert Daniel, David Harry Garcia, Brian Krausz, Cameron Alexander Marlow, Justin Alexander Shaffer, Michael John McKenzie Toksvig, Erick Tseng, Yoon Kean Wong",20140067945,Sharing television and video programming through social networking,Grant,https://patents.justia.com/patent/9667584
774,"In one embodiment, a method includes accessing an image portraying at least a first person, accessing a social graph, determining a social-graph affinity for a first set of users, determining a facial-recognition scores for the first set of users based on the social-graph affinity for each user and a facial-representation associated with each user, where the facial-representation for each user is compared with the image, and generating one or more tag suggestions for the first person portrayed in the image based on the facial-recognition scores.",,"FACEBOOK, INC.","November 16, 2015","May 30, 2017","Dan Barak, Yaniv N. Taigman, Gil Hirsch, Jorn Martinus Johannes van Dijk, Dirk John Stoop",20160070954,Tag suggestions for images on online social networks,Grant,https://patents.justia.com/patent/9665765
775,"In one embodiment, a storage and privacy system stores and manages information associated with users and ensures and enforces access-control rules specified for the stored information.",,"FACEBOOK, INC.","April 17, 2012","May 30, 2017","Robert Carlton Johnson, Stephen Charles Heise, Yiding Jia","Facebook, Inc.",Storage and privacy service,Grant,https://patents.justia.com/patent/9665393
776,"A proxy and a method for providing a unique user identification (UUID) to a mobile device executing a plurality of mobile applications includes receiving a request to access an resource by a mobile application of the plurality of mobile applications; generating a unique user identification (UUID) to uniquely identify the mobile device, thereby the UUID enables the at least one resource to uniquely identify the mobile device regardless of which of the plurality of mobile applications made a request to the resource; associating to the request the UUID; and forwarding the request with the UUID to the resource.",,"FACEBOOK, INC.","December 31, 2012","May 30, 2017","Roi Tiger, Guy Rosen, Yuval Ariav, Eran Fridman, Gadi Eliashiv",20130262675,Proxy and method for determination of a unique user identification for a plurality of applications accessing the web from a mobile device,Grant,https://patents.justia.com/patent/9667675
777,"A social networking system includes information identifying a machine (e.g., a robot, a drone, a computer, a thermostat, etc.) and a connection between the machine and an owner of the machine, which is a user of the social networking system capable of authorizing an action by the machine. The owner of the machine associates permissions associated with various actions by the machine, where a permission associated with an action identifies one or more criteria for performing the action. Permissions may specify types of connections between social networking system users and the owner of the machine via the social networking system to allow social networking system users with specific types of connections to the owner of the machine to perform certain actions using the machine. Information describing an action performed by the machine may be communicated to other users of the social networking system via any suitable communication channel.",,"FACEBOOK, INC.","April 26, 2016","May 30, 2017","Scott C. Wiley, Adam Michael Beaton, Alan Dean Olsen",20160241567,Controlling operation of a machine and describing actions performed by the machine through a social networking system,Grant,https://patents.justia.com/patent/9667633
778,"Systems, methods, and non-transitory computer-readable media can acquire information associated with a set of rules and a set of activities identified by the set of rules as being potentially illegitimate. A priority order for a set of properties associated with the set of rules can be acquired. The set of rules can be ranked based on the priority order. A highest ranked rule can be stored into a record. The highest ranked rule can be removed from consideration out of the set of rules. At least one activity, identified by the highest ranked rule, can be removed from consideration out of the set of activities. In some instances, the record can be provided.",,"FACEBOOK, INC.","June 25, 2014","May 30, 2017",Daniel Adam Jenson,20150379405,Systems and methods for ranking rules that identify potentially illegitimate activities,Grant,https://patents.justia.com/patent/9665695
779,"Techniques for contextual mobile data access are described. In one embodiment, an apparatus may comprise a mobile device with a local gateway utility. The local gateway utility may be operative to receive a network request on a device, determine that the network request corresponds to a context-specific data plan for the device, the context-specific data plan authorizing performance of the network request through a zero-rated proxy server, and perform the network request for the application using the zero-rated proxy server as an intermediary. Other embodiments are described and claimed.",,"FACEBOOK, INC.","December 18, 2014","May 30, 2017","Roi Tiger, Erbil Karaman",20160182736,Techniques for contextual mobile data access,Grant,https://patents.justia.com/patent/9667808
780,"Beacon devices transmit wireless beacon messages to alert an application on a mobile phone of the Beacon device's proximity. Contemplated beacon devices may also include an ultrasonic emitter and one or more microphones. The ultrasonic emitter may be used to complement other beacon operations, communicate information to a user mobile device, and monitor the beacon device's environment. Ultrasonic data may also be used to determine if a person or object is in proximity to the beacon device. Short echolocation travel times may be used to indicate that a user is “touching” the beacon device. Inter-beacon device communication may also be accomplished using the ultrasonic emitter.",,"FACEBOOK, INC.","January 9, 2015","May 30, 2017","Mateusz Marek Niewczas, Fraidun Akhi, Shizhe Shen",20160204879,Ultrasonic communications for wireless beacons,Grant,https://patents.justia.com/patent/9667352
781,"In one embodiment, a computing device identifies a first number of content objects to render for display along an axis within an area of a graphical user interface based on an assumed dimension of every content object and a maximum dimension of the area along the axis. The computing device renders the first number of content objects for display along the axis within the area, and determines a difference between the assume dimensions and actual dimensions of the rendered content objects along the axis. The computing device adjusts the assumed dimension based on the difference, and identifies a second number of content objects to render for display along the axis within the area based on the assumed dimension as adjusted and the maximum dimension of the area along the axis. And the computing device renders the second number of content objects for display along the axis within the area.",,"FACEBOOK, INC.","November 8, 2012","May 30, 2017","Vladimir Kolesnikov, Andrew Chien",20140129966,Progressive rendering of data sets,Grant,https://patents.justia.com/patent/9665353
782,"Various of the disclosed embodiments improve the initial codec selection in a Voice Over Internet Protocol (VOIP) connection. Particularly, rather than select an initial codec for the connection arbitrarily or based on data measured during the connection, embodiments analyze attributes of data exchanged prior to connection establishment to identify the appropriate initial codec. Attributes of the offer message transmission and acknowledgement may be used to infer channel quality. Signal strength, the existence of a WiFi connection, previous codecs used, etc., may also be taken into consideration. Latency measurements may be used as a proxy for measuring available bandwidth. Based on these factors, a codec having appropriate attributes may be selected. Traditional rate shaping methods may be applied subsequent to the initial codec selection.",,"FACEBOOK, INC.","December 5, 2014","May 30, 2017","Christopher David Vander Mey, Parama Jyothi Reddappagari, Shuangtiao Huang",20160165058,Codec selection based on offer,Grant,https://patents.justia.com/patent/9667801
783,"Techniques for dynamic zero-rated server clusters are described. Some embodiments are particularly directed to techniques for delivering zero-rated content packages in which different client devices with different zero-rated content packages may receive their appropriate zero-rated content using a shared cluster of zero-rated servers. In one embodiment, for example, an apparatus may comprise a network access component operative to receive a user request at a network service from a client device via a data network, wherein the network service is rate-adjusted for the client device with the data network; and respond to the user request; and a rate-adjustment management component operative to access a rate-adjustment wallet for a user account for the user request; and configure the network access component to respond to the user request based on the rate-adjustment wallet. Other embodiments are described and claimed.",,"FACEBOOK, INC.","June 3, 2015","May 30, 2017","Filippo Pacifici, Zixiao Zhang, Timothy Irish Bauman, Breno Pompeu Roberto",20160360043,Techniques for dynamic zero-rated server clusters,Grant,https://patents.justia.com/patent/9667807
784,"A self-adaptive control system based on proportional-integral (PI) control theory for dynamic capacity management of latency-sensitive application servers (e.g., application servers associated with a social networking application) are disclosed. A centralized controller of the system can adapt to changes in request rates, changes in application and/or system behaviors, underlying hardware upgrades, etc., by scaling the capacity of a cluster up or down so that just the right amount of capacity is maintained at any time. The centralized controller uses information relating to a current state of the cluster and historical information relating to past state of the cluster to predict a future state of the cluster and use that prediction to determine whether to scale up or scale down the current capacity to reduce latency and maximize energy savings. A load balancing system can then distribute traffic among the servers in the cluster using any load balancing methods.",,"FACEBOOK, INC.","August 1, 2014","May 30, 2017","Qiang Wu, Sanjeev Kumar, Sachin Kadloor",20150180719,Self-adaptive control system for dynamic capacity management of latency-sensitive application servers,Grant,https://patents.justia.com/patent/9667498
785,A social networking system distributes information related to emergency events. The social networking system provides an interface for users to view information about the users' connections related to the emergency event. The interface allows users to filter the users' connections to search for connections affected by the emergency event. The interface also includes a status indicator for the users and provides a method for providing input to the connections' status.,,"FACEBOOK, INC.","February 17, 2012","May 30, 2017","Brian Paihan Sa, William Chen, Taro Kodama",20130218959,Social distribution of emergency status,Grant,https://patents.justia.com/patent/9665835
786,"Enabling management of contacts includes passively recognizing a set of contacts that are, as a group, repeatedly sent communications by a member, bringing the member's attention to the recognized set of contacts, enabling the member to name the set of contacts, and enabling the member to address future communications to the set of contacts through use of the name associated by the member with the set of contacts.",,"FACEBOOK, INC.","September 14, 2012","May 30, 2017","Valerie Kucharewski, Michael Traylor, Michael Anthony Buonomo, John Panzer, Jack Mazzeo",20130173722,Central people lists accessible by multiple applications,Grant,https://patents.justia.com/patent/9667585
787,A following user follows a followed user on a third-party application. The followed user may additionally approve the inclusion of content posted by the followed user on the third-party application within an account of any following users on the social networking system. Subsequent postings by the followed user on the third-party application cause the third-party application to notify the social networking system of the posting. The social networking system in turn incorporates the posting of the followed user on the third-party application into a user interface that it displays to the following user.,,"FACEBOOK, INC.","January 31, 2013","May 23, 2017","Yariv Sadan, Zachary Rait, Austin Haugen",20140214944,Incorporation of content from an external followed user within a social networking system,Grant,https://patents.justia.com/patent/9661086
788,"In particular embodiments, one or more computer systems of a social-networking system determine identities of one or more users in proximity to a display device and query a social graph of the social-networking system for social content associated with the determined identities. The social graph includes nodes and edges connecting the nodes. The nodes include user nodes that are each associated with a particular user of the social-networking system. The one or more computer systems of the social-networking system identify, using the social content, recommended media content for the one or more users in proximity to the display device and provide a playlist for display on the display device. The playlist includes the recommended media content for the one or more users in proximity to the display device.",,"FACEBOOK, INC.","November 30, 2012","May 23, 2017","Ime Archibong, Gregory Joseph Badros, Colin Cameron Brennan Campbell, David Harry Garcia, Mark Heynen, Brian Krausz, Cameron Alexander Marlow, Justin Alexander Shaffer, Michael John McKenzie Toksvig, Erick Tseng, Yong Kean Wong",20140067828,Sharing television and video programming through social networking,Grant,https://patents.justia.com/patent/9660950
789,"A user creates an event in a social networking system specifying a location, a time, and a guest list of other users invited to the event. The social networking system generates a page associated with the event that provides information about the event and identifies whether users have responded to invitations to the event. The content of the page may be customized for the user viewing the page to encourage the viewing user to attend the event. For example, the viewing user's relationship to and/or similar characteristics with other users on the guest list is determined and used by the social networking system to identify the users whose responses to invitations are shown to the viewing user via the page. Additionally, a notification method more prominently distributes acceptances of invitations to other users to encourage attendance.",,"FACEBOOK, INC.","April 15, 2015","May 23, 2017","Robert Michael Baldwin, Henry Bridge, Robyn David Morris",20150222721,Customized presentation of event guest lists in a social networking system,Grant,https://patents.justia.com/patent/9661089
790,"A method, a system, and a device for navigating in a virtual reality scene, using body parts gesturing and posturing are provided herein. The method may include: projecting a synthetic 3D scene, into both eyes of a user, via a near eye display, so as to provide a virtual reality view to the user; identifying at least one gesture or posture carried out by at least one body part of said user; measuring at least one metric of a vector associated with the detected gesture or posture; applying a movement or action of said user in virtual reality environment, based on the measured metrics; and modifying the virtual reality view so as to reflect the movement or action of said user in the virtual reality environment.",,"FACEBOOK, INC.","December 18, 2015","May 23, 2017","Nadav Grossinger, Emil Alon, Iddo Bar David, Efrat Solodnik",20160180595,"Method, system and device for navigating in a virtual reality environment",Grant,https://patents.justia.com/patent/9659413
791,"An influence metric describing the influence of a social networking system object on social networking system users is determined based on affinities between the users and the object. For example, affinities between the associated users and the object are combined to determine the influence metric. Content may be selected for presentation to users based in part on influence metrics of the content. Additionally, influence metrics of objects associated with a user may be combined to determine the relevance of objects associated with the user, which may also be used to select content for presentation to the user.",,"FACEBOOK, INC.","November 30, 2016","May 23, 2017","Andrew G. Bosworth, Aruna Bharathi",20170083943,Determining influence in a social networking system,Grant,https://patents.justia.com/patent/9659308
792,"In one embodiment, a method includes by a host computing server, receiving from a client computing device, a request to upload a multimedia file from the client computing device to a service; by the host computing server, identifying one or more third-party transcoding servers, wherein the transcoding servers are configured to receive and transcode multimedia files from client computing devices and store the transcoded multimedia files; by the host computing server, sending to the client computing device, a reply that comprises addresses of the third-party transcoding servers and job configuration information, wherein the job configuration information specifies one or more upload policies and comprises an access token enabling the client computing device to access the transcoding servers.",,"FACEBOOK, INC.","December 4, 2013","May 23, 2017","Michel Krieger, Shayne Mikel Sweeney, Peter William Hunt, Nicholas Patrick Shortway, Richard William Branson, Alexandre Karpenko, Chen Chen, Francois Claude Fabien Jean Jules Deliége",20150156281,Uploading and transcoding media files,Grant,https://patents.justia.com/patent/9661106
793,"Particular embodiments may receive and log information related to one or more events occurring on one or more client computing devices associated with a user. An event may comprise a restriction of a user action on a social-networking system, the restriction comprising the social-networking system blocking the user from performing the user action. An event may comprise a login issue associated with logging in to the social-networking system. An event may comprise a system or device error. System errors may comprise events originating from a third-party system. For each event, an indication of the event and at least one user-activatable reference may be provided for display to the user. A control action may then be determined for the event in response to a user selection of the user-activatable reference. An interface may provide third parties with a view of a user's events as well as functionality to effect control actions.",,"FACEBOOK, INC.","October 25, 2012","May 23, 2017","Jacob Andrew Brill, Daniel Gregory Muriello, Andrew Bartholomew",20140123228,Event reporting and handling,Grant,https://patents.justia.com/patent/9660993
794,"In one embodiment, a first computing device receives a first user input selecting a set of multimedia objects stored on the first computing device, and initiates upload of the set of multimedia objects to a second computing device. While the upload is in progress, a second user input is concurrently received selecting a subset of the set of multimedia objects, and a third user input is concurrently received comprising metadata, and the metadata is associated with one or more multimedia objects from the subset of multimedia objects.",,"FACEBOOK, INC.","October 20, 2015","May 23, 2017",Erick Tseng,20160044109,Concurrently uploading multimedia objects and associating metadata with the multimedia objects,Grant,https://patents.justia.com/patent/9661076
795,"Various of the disclosed embodiments relate to line-of-sight (LOS), e.g., optical, based networks. Systems and methods are provided for connecting nodes based on their topological position in a line-of-sight communication network. Some embodiments may represent each node by a “backbone” and a “subnetwork” rank. The determination of a node's rank can prevent the formation of isolated “islands” of nodes, cut off from the backbone. The ranking can also provide a total ordering of nodes relative to the “fiberpop” node which can be used for healing and routing behaviors.",,"FACEBOOK, INC.","November 6, 2014","May 23, 2017","Karthik Yogeeswaran, Ali Yazdan Panah, Yael Maguire",20160135110,Association in line-of-sight communication networks,Grant,https://patents.justia.com/patent/9661552
796,None,,"FACEBOOK, INC.","September 24, 2015","May 23, 2017","Matthew Joseph Cahill, Mark E. Zuckerberg","Facebook, Inc.",Display panel of a programmed computer system with a graphical user interface,Grant,https://patents.justia.com/patent/D787528
797,None,,"FACEBOOK, INC.","July 15, 2015","May 23, 2017","Mark E. Zuckerberg, Eyal Michael Sharon","Facebook, Inc.",Display panel of a programmed computer system with a graphical user interface,Grant,https://patents.justia.com/patent/D787538
798,None,,"FACEBOOK, INC.","March 7, 2016","May 30, 2017","Joyce Hsu, Charles Matthew Sutton, Cliff Warren","Facebook, Inc.",Display screen with animated graphical user interface,Grant,https://patents.justia.com/patent/D788166
799,None,,"FACEBOOK, INC.","June 17, 2016","June 13, 2017","Kashif Ali, Philip Bourgeois, Charles Putland, Aaron Neuhauser","Facebook, Inc.",Communications base station,Grant,https://patents.justia.com/patent/D789361
800,"Techniques to generate mass push notifications are described. In one embodiment, for example, an apparatus may comprise a submission component, a query component, a delivery component, and a record update component. The submission component may be operative to receive a message bundle, the message bundle comprising a message and a query. The query component may be operative to compare the query to a plurality of recipient records to determine a plurality of recipient records matching the query, each of the plurality of recipient records corresponding to a particular installation of a particular application onto a particular device. The delivery component may be operative to broadcast the message to a plurality of installed applications corresponding to the plurality of recipients records matching the query. Other embodiments are described and claimed.",,"FACEBOOK, INC.","April 22, 2016","May 16, 2017","Bryan Jay Klimt, Jr., Kevin David Lacker, Michael Brian Jacokes, Thomas Alan Bouldin, David Eitan Poll, Ilya Sukhar",20160241661,Techniques to generate mass push notifications,Grant,https://patents.justia.com/patent/9654577
801,"In one embodiment, a dialog server comprising: a memory comprising instructions executable by one or more processors; and the one or more processors coupled to the memory and operable to execute the instructions, the one or more processors being operable when executing the instructions to: receive, from a client, a request for a dialog and one or more parameters associated with the request; process the request and the one or more parameters to extract information concerning the dialog; generate, based on the information concerning the dialog, code that implements one or more functionalities supported by the dialog, wherein the code can be processed directly by a web browser executing on the client; and transmit, to the client, the code for execution in the web browser.",,"FACEBOOK, INC.","December 14, 2010","May 16, 2017","Brent Justin Goldman, Naitik Hemant Shah, Wei Zhu",20120150941,Dialog server,Grant,https://patents.justia.com/patent/9652552
802,"In particular embodiments, a method comprising, by one or more computing devices, communicating, from a client device, to a remote host a resource locator of a content object being currently accessed by a first user at the client device, receiving from the remote host an indication that one or more second users have accessed the content object or a domain hosting the content object, and responsive to the indication, displaying a chat messaging interface to the first user at the client device, wherein the chat messaging interface includes identifiers for the one or more second users and messaging controls operative to establish a chat session with the one or more second users.",,"FACEBOOK, INC.","June 24, 2011","May 16, 2017","Michael Judd Richter, Matthew William Kelly, Austin Haugen",20120331067,Dynamic chat box,Grant,https://patents.justia.com/patent/9652810
803,Systems and methods are provided for adding new nodes to a computer networked system. The systems and methods may identify a first set of nodes in a networked computer system. The first set of nodes may be included in a first hash computation that clusters the first set of nodes into communities. An application shard space including a first space and a second space may be generated. The first set of nodes may be mapped to application shards in the first space based on the first hash computation. The application shards in the first space may be assigned to a first set of machines of the networked computer system. The second space may be maintained for mappings of nodes not included in the first hash computation to application shards in the second space.,,"FACEBOOK, INC.","December 26, 2013","May 16, 2017","Alon Michael Shalita, Arun Sharma",20150186492,Systems and methods for adding users to a networked computer system,Grant,https://patents.justia.com/patent/9652554
804,"In one embodiment, a method includes receiving a request for a measure of affinity for a particular action associated with a user of the social-networking system; and determining results for each predictor function based at least in part upon a number of actions previously preformed by the user with respect to the mobile-computing device. Each predictor function calculating a likelihood the user performs one or more actions; The method also includes computing a measure of affinity associated with the user based on the results for the predictor functions; and providing the computed measure of affinity.",,"FACEBOOK, INC.","October 1, 2012","May 16, 2017",Jonathan Arie Matus,20140095606,Mobile device-related measures of affinity,Grant,https://patents.justia.com/patent/9654591
805,"A social networking system receives messages from users that include hashtags. The social networking system may use a natural language model to identify terms in the hashtag corresponding to words or phrases of the hashtag. The words or phrases may be used to modify a string of the hashtag. The social networking system may also generate computer models to determine likely membership of a message with various hashtags. Prior to generating the computer models, the social networking system may filter certain hashtags from eligibility for computer modeling, particularly hashtags that are not frequently used or that more typically appear as normal text in a message instead of as a hashtag. The social networking system may also calibrate the computer model outputs by comparing a test message output with outputs of a calibration group that includes positive and negative examples with respect to the computer model output.",,"FACEBOOK, INC.","December 31, 2014","May 9, 2017",Jeffrey William Pasternack,20160188567,Identifying expanding hashtags in a message,Grant,https://patents.justia.com/patent/9646263
806,"In one embodiment, a method includes receiving from a first user of an online social network a search query input including one or more n-grams; generating a number of query commands based on the search query input; and searching one or more verticals to identify one or more objects stored by the vertical that match the query commands. Each vertical stores one or more objects associated with the online social network. The method also includes generating a number of search-result modules. Each search-result module corresponds to a query command of the number of query commands. Each search-result module includes references to one or more of the identified objects matching the query command corresponding to the search-result module. The method also includes scoring the search-result modules; and sending each search-result module having a score greater than a threshold score to the first user for display.",,"FACEBOOK, INC.","April 3, 2014","May 9, 2017","Girish Kumar, Yuval Kesten, Xiao Li, Fabio Lopiano",20150286643,Blending search results on online social networks,Grant,https://patents.justia.com/patent/9646055
807,"In particular embodiments, a computing device determines a social context of each of one or more images to provide for display to a user. The computing device determines a relevance of each of the social contexts to the user. The computing device provides for display to the user one or more of the images based at least in part on the relevance of the social context of each image to the user.",,"FACEBOOK, INC.","March 13, 2013","May 9, 2017","Christopher Serge Benjamin Chedeau, Emily B. Grewal, Andrew Chung",20140280533,Image filtering based on social context,Grant,https://patents.justia.com/patent/9648129
808,"In one embodiment, a method includes storing one or more graphs, each graph comprising one or more nodes arranged in a hierarchical format, each node representing one or more data items; accessing a query requesting one or more specific data items in the graphs, the query being expressed in a language having a hierarchical format; retrieving the specific data items from the graphs; arranging the specific data items in a hierarchical format; and outputting the specific data items in response to the query.",,"FACEBOOK, INC.","August 31, 2012","May 9, 2017","Nicholas Hage Schrock, Lee Williams Byron, Daniel L. Schafer",20140067850,Graph query logic,Grant,https://patents.justia.com/patent/9646028
809,Techniques for receiving and processing detected events are provided. A bit array may be received from a device. Each bit value in the bit array may indicate whether a user initiated event relating to interaction with a website was detected by the device. Data regarding a start time associated with the bit array may be received. Each bit value in the bit array is associated with a time increment after the start time.,,"FACEBOOK, INC.","June 23, 2016","May 9, 2017","Zoe Abrams Bayen, Jordan William Frank, Aleksander Gorajek, William Arthur Hughes, Thomas M. Lento, Itamar Rosenn",20160308990,Systems and methods for receiving and processing detected events,Grant,https://patents.justia.com/patent/9648117
810,A method for tagging digital media is described. The method includes selecting a digital media and selecting region within the digital media. The method may further include associating a person or entity with the selected region and sending a notification of the association the person or entity or a different person or entity. The method may further include sending advertising with the notification.,,"FACEBOOK, INC.","April 29, 2011","May 9, 2017","Mark Zuckerberg, Aaron Sittig, Scott Marlette",20110202531,Tagging digital media,Grant,https://patents.justia.com/patent/9646027
811,"In one embodiment, a method includes receiving a request to display a media plug-in on a third-party website hosted by a third-party system, determining media content associated with the request to display the media plug-in, and determining whether the third-party website is being viewed by a user that is currently logged in to the social-networking system. The method further includes determining one or more user-selectable objects based at least on the determined media content and the determination of whether the user is currently logged in to the social-networking system and providing the determined one or more user-selectable objects for display in the media plug-in on the third-party website. The third-party system is separate from the social-networking system. The user-selectable objects, once selected, cause an action related to the determined media content.",,"FACEBOOK, INC.","November 1, 2013","May 9, 2017","Erick Tseng, Yoon Kean Wong",20150127727,Media plug-in for third-party system,Grant,https://patents.justia.com/patent/9648058
