title,year,type,abstract,main_class,sub_class,third_class
Survey segmentation,2013-01-01,Grant,"An embodiment of a system and method of surveying users on a social networking system is described which limits the frequency in which any one user is surveyed. Users are assigned into a multi-layered survey pool based on a hash value derived from a user identification number for the online social network that is assigned to the user. Users are randomly offered the opportunity to take a survey, and the subject matter of the survey is at least partially determined by the layer from which the survey obtains its sample populace.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Social context for applications,2017-01-01,Grant,"In one embodiment, a method includes identifying an application installed on a client device of a first user, and one or more second users of a social-networking system that are connected to the first user within the social-networking system. Data associated with the one or more second users may be determined. The data may indicate: a number of the one or more second users who have installed the identified application, or a number of uses of the identified application by the one or more second users over a pre-determined period of time. The data, which may be configured to be displayed on the client device with an interactive element associated with the application, may be sent to the client device of the first user.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Embedding information within metadata,2015-01-01,Grant,"In one embodiment, a method includes receiving a datafile and associated metadata, wherein the associated metadata has a reserved area of storage space and a known format, determining a sampled format for the associated metadata, wherein the sampled format creates available spaces within the reserved area of storage space, determining data to be embedded in the associated metadata, inserting the data to be embedded into a least one of the available spaces, and providing the datafile and the associated metadata with the inserted data.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Scrolling across boundaries in a structured document,2012-01-01,Grant,"In one embodiment, a method includes providing for display to a user content including multiple content objects that each has a boundary defining a two-dimensional area. A two-dimensional scroll region for user scrolling within the content is determined. The two-dimensional scroll region is independent of the two-dimensional areas of the content objects. User input to scroll within the content in one or both of the two dimensions across one or more of the boundaries is received. The method includes scrolling within the content according to the user input, the scrolling being continuous across the boundaries.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Techniques to promote messages,2013-01-01,Grant,"Techniques to promote messages in a social networking services to increase communication opportunities while throttling unsolicited messages are described. In one embodiment, an apparatus may have a message generation component and a message delivery component. The message generation component may be operative to receive a request from a first member of a social networking service (SNS) to send a message for a second member of the SNS. The message delivery component may be operative to deliver the message to one of multiple mailboxes for the second member based on a tiered payment schedule. The tiered payment schedule may include a first parameter to represent a relationship type between the first and second members, a second parameter to represent a subscriber tier for the second member, and a third parameter to represent a promotional cost associated with the subscriber tier. Other embodiments are described and claimed.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Managing information about relationships in a social network via a social timeline,2016-01-01,Grant,"A system, method, and computer program for generating a social timeline is provided. A plurality of data items associated with at least one relationship between users associated with a social network is received, each data item having an associated time. The data items are ordered according to the at least one relationship. A social timeline is generated according to the ordered data items.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Comment ordering system,2017-01-01,Grant,"In one embodiment, a social networking system receives a request by a first user for user comments associated with a content object, accesses a data store of user comments to retrieve a set of user comments associated with the content object, orders the set of user comments based on a time value associated with each comment of the set of user comment, adjusts the order of user comments based on social graph information of the first user, and presents the adjusted list of user comments to the first user.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Controlling devices by social networking,2014-01-01,Grant,"In one embodiment, a method includes analyzing information received from a first network-enabled device to identify instructions for a second network-enabled device associated with a second user of a social-networking system, the first network-enabled device being associated with a first user of the social-networking system. The method also includes determining (1) that the first user is connected to the second user with respect to a social graph of the social-networking system and (2) that the first user has authorization to provide instructions to the second network-enabled device, where the authorization is based on social-networking information. The method further includes providing the instructions to the second network-enabled device.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Systems and methods for optimizing order of image transformations,2016-01-01,Grant,"In one embodiment, a method includes receiving a plurality of image transformations in a user-selected ordering and applying one or more ordering cost functions to one or more possible orderings of the plurality of image transformations. Each ordering cost function includes a plurality of transformation cost functions, with each transformation cost function being associated with an image transformation. The method further includes determining computing costs for each of the one or more applied ordering cost functions, and selecting from the one or more possible orderings of the plurality of image transformations, an optimal ordering of the plurality of image transformations based on the determined computing costs.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Circuit board actuator system,2015-01-01,Grant,"Technology is provided for circuit board actuator systems for ejecting and inserting a circuit board into a circuit board connector. The actuator system includes a cross-member attached to a circuit board and a pair of levers pivotably coupled to opposite end portions of the cross-member. Each lever is moveable between a closed position and an open position and includes an arm with an insertion pawl and an ejector pawl extending from the arm. The system further includes a pair of circuit board guides, each including a keeper and mountable adjacent a circuit board connector. The insertion pawls operate against the keepers to insert the circuit board into the connector when the levers are moved toward the closed position, and the ejector pawls operate against the keepers to eject the circuit board from the connector when the levers are moved toward the open position.",ELECTRICITY,BASIC ELECTRIC ELEMENTS,LINE CONNECTORS; CURRENT COLLECTORS
Illumination system synchronized with image sensor,2016-01-01,Grant,"Eye tracking technology may be used in a wide range of lighting conditions and with many different and varying light levels. In some embodiments, an eye tracking device may employ active illumination (e.g., in the form of infrared light-emitting diodes (LEDs)). However, employing active illumination may reduce the battery life of the device. Under some circumstances (e.g., in a dark environment), the light intensity may be excessive and could be reduced, thereby reducing energy consumption and extending the battery life of the device. An algorithm may be used to adjust the duration of light in eye tracking systems that employ active illumination.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"PICTORIAL COMMUNICATION, e.g. TELEVISION"
Default structured search queries on online social networks,2014-01-01,Grant,"In one embodiment, a method includes accessing a social graph that includes a plurality of nodes and edges, identifying a nodes corresponding to a page currently accessed by a first user, generating one or more structured queries, where each structured query comprises a reference to the identified node and one or more edges that are connected to the identified node, and transmitting one or more of the structured queries to the first user for display on the page.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Social data overlay,2016-01-01,Grant,"In particular embodiments, a method comprising, by one or more computing devices, identifying, at a client device, one or more objects or references to the one or more objects embedded in a structured document displayed to a first user, accessing a social graph to determine if one or more second users having an association with the first user have accessed any of the one or more identified objects, and modifying, for at least one of the one or more identified objects, the structured document displayed to the first user to indicate that the at least one or more identified objects has been accessed by one or more second users.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Generating characteristics of users of an online system presented with content in a context relative to other content,2016-01-01,Grant,"An online system maintains information identify a context in which sponsored content items were presented to users. A context in which a sponsored content item was presented to a user identifies additional content presented to the user prior to the sponsored content item, and may identify additional content presented in conjunction with the sponsored content item. The online system identifies users to whom at least one sponsored content item was presented in a context and generates characteristics for the context based on characteristics of users who were presented with at least one sponsored content item in the context. When the online system receives a request to present sponsored content items in the context that does not identify an online system user, the online system selects sponsored content items for the request based on the generated characteristics for the context.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Associating financial accounts with a social networking system user profile,2013-01-01,Grant,"A social networking system associates a financial account identified by a user with a user profile maintained by the social networking system for the user. The social networking system may compensate the user for associating the financial account with the user profile by crediting the identified financial account by an amount. The credit may be applied to subsequent purchases by the user at a vendor identified by the user. To simplify vendor selection, the social networking system may suggest one or more candidate pages associated with vendors to the user. Information in a transaction history of the financial account and in the user profile may be used to identify the candidate pages, allowing the user to select a vendor with which the user has previously transacted by selecting a candidate page associated with the vendor.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Techniques to identify application foreground / background state based on network traffic,2015-01-01,Grant,"Techniques to identify application foreground/background state based on network traffic are described. In one embodiment, an apparatus may comprise a traffic monitoring component and a traffic analysis component. The traffic monitoring component may receive monitored network traffic over a monitored time period. The traffic analysis component may receive a foreground activity profile, the foreground activity profile comprising one or more signals for distinguishing between foreground activity of one or more profiled applications and background activity of the one or more profiled applications; determine one or more active foreground applications in the monitored network traffic based on the foreground activity profile, wherein determining the one or more active foreground applications comprises determining that at least a portion of the monitored network traffic comprises background activity; and log that the one or more active foreground application were active during the monitored time period.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,WIRELESS COMMUNICATIONS NETWORKS
Ranking search results by social relevancy,2015-01-01,Grant,"In one embodiment, a search request is received from a first user, the request including the first user's location. A set of search results and their corresponding geographic locations are determined in response to the search request. For each search result, a weighted rating value is determined based on user ratings provided by one or more second users, an affiliation coefficient between the first user and each second user providing a user rating, and a proximity coefficient based on the distance between the first user's location and the geographic location of the search result. The search results are ranked by their respective weighted rating values and sent to the first user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Communicating notifications from a third party system to online system users via the online system,2015-01-01,Grant,"To allow a third party system to more particularly identify sets of users for distributing content, an online system receives data from a third party system identifying users of the online system who have authorized communication with the third party system and stores information authorizing communication between the third party system and the users in user profiles associated with the user. The online system receives a request from the third party system to transmit a notification to online system users satisfying criteria specified by the request. User profiles including information authorizing communication between the third party system and online system users are identified by the online system, which selects a set of the identified user profiles associated with information satisfying the criteria specified by the request. The online system transmits the notification to client devices associated with users associated with the set of the identified user profiles.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Generating card stacks with queries on online social networks,2014-01-01,Grant,"In one embodiment, a method includes receiving, from a client device of a user of an online social network, an input from the user to access a card-stack interface, generating a plurality of cards, where each card comprises a suggested query referencing a query-domain associated with the online social network and one or more query-filters, and where each query-filter references one or more objects of the online social network, each card further comprising one or more search results corresponding to the suggested query, and each search result referencing an object of the online social network matching the suggested query of the card; and sending, to the client device in response to the input from the first user, the card-stack interface for display to the first user, wherein the card-stack interface comprises one or more of the generated cards.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Selection and ranking of comments for presentation to social networking system users,2015-01-01,Grant,"When a social networking system receives a request from a requesting user for a content item associated with one or more comments, the social networking system determines an interest score for each comment. The interest score for a comment indicates a measure of the user's likelihood of being interested in the comment. Based on the calculated interest scores, the social networking system selects one or more comments for presentation to the viewing user along with the content item. The social networking system may specify an order in which the selected comments are presented based on the interest scores of the selected comments.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Withdrawal of a message sent in a social networking system,2017-01-01,Grant,"Some embodiments of a method for withdrawal a message include receiving, by a mobile device, an input to send a first message to a first recipient, the first message containing at least one image or video. The mobile device processes the first message for transmittal to the first recipient. In response to detecting a request to withdraw the first message within a timeout period, the mobile device determines that the first message has not been sent from the mobile device and terminates the processing of the first message for sending.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Ranking objects by social relevance,2015-01-01,Grant,"In one embodiment, one or more computing systems may implement a social networking environment and may be operable to access, in a social graph associated with one or more computing systems of a social network environment, a user node representing a particular user, the user node connected to a plurality of attribute nodes. The social graph may comprise a plurality of object nodes in the social graph, each object node being connected to a plurality of attribute nodes. The systems may be further operable to calculate a match coefficient between the user node and an individual object node. The calculation may include operations to, for each attribute node in a set of all attribute nodes connected to both the user node and the object node, calculate a first coefficient between the user node and the attribute node.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Identifying a route configured to travel through multiple points of interest,2015-01-01,Grant,"A computer-implemented method for identifying a route that is configured to travel through multiple points of interest includes receiving a query that includes an origin location, a destination location, and at least a first point of interest and a second point of interest. The method also includes identifying a perimeter that surrounds the received origin and destination locations in response to the query. The perimeter is then used to identify a set of locations for each of the first and second points of interest.",PHYSICS,MEASURING; TESTING,"MEASURING DISTANCES, LEVELS OR BEARINGS; SURVEYING; NAVIGATION; GYROSCOPIC INSTRUMENTS; PHOTOGRAMMETRY OR VIDEOGRAMMETRY"
Overlaying photographs with text on a social networking system,2016-01-01,Grant,"When a social networking system receives an image and associated text for presentation to one or more users, the social networking system determines how to present the text and the image. For example, the social networking system determines if to overlay the text onto an area of the image. A readability score indicating the readability of the text if overlaid onto an area of the image is determined based on attributes of the image and of the text. Using the readability score, the social networking system overlays the text onto an area of the image when presented to other users or presents the text adjacent to the image when presented to other users.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Filtering automated selection of hashtags for computer modeling,2014-01-01,Grant,"A social networking system receives messages from users that include hashtags. The social networking system may use a natural language model to identify terms in the hashtag corresponding to words or phrases of the hashtag. The words or phrases may be used to modify a string of the hashtag. The social networking system may also generate computer models to determine likely membership of a message with various hashtags. Prior to generating the computer models, the social networking system may filter certain hashtags from eligibility for computer modeling, particularly hashtags that are not frequently used or that more typically appear as normal text in a message instead of as a hashtag. The social networking system may also calibrate the computer model outputs by comparing a test message output with outputs of a calibration group that includes positive and negative examples with respect to the computer model output.",PHYSICS,COMPUTING; CALCULATING; COUNTING,COMPUTER SYSTEMS BASED ON SPECIFIC COMPUTATIONAL MODELS
Multimedia aggregation in an online social network,2012-01-01,Grant,"Particular embodiments receive a search request and identify matching users associated with group information corresponding to the search request. Examples of group information include group ID, name, description of the group, and members of the group. Profile information is retrieved for each of the one or more matching users. Information to display a web page may be sent in response to the search request. The information to display the web page comprises the profile information and the group information for at least one of the one or more matching users. The web page may also include content associated with matching users (e.g., multimedia content, social networking content). Particular content may be designated as featured content based on the popularity of the content.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Sampling content using machine learning to identify low-quality content,2016-01-01,Grant,"An online system obtains risk scores determined by a machine learning model for a content item provided by a user of an online system for display to users of the online system, where the risk scores indicate the likelihood of content items violating a content policy. The online system uses the risk scores to determine sampling weights used to select content items for inclusion in a sampled subset of content items. The sampling weights are determined from risk score counts indicating the relative frequency of the obtained risk scores and impression counts indicating the number of times content items have been presented to the users of the online system. The online system presents the selected content items for evaluation by a human reviewer using a quality review interface. Using the results of the quality review, the online system determines quality performance metrics of the machine learning model.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Card-stack interface,2012-01-01,Grant,"In one embodiment, a method includes displaying one of a number of graphical user interfaces (GUIs) of one or more applications as a card on top of a card stack. One or more of the cards in the card stack corresponds to a GUI of a home screen of the computing device. Each of one or more of the cards in the card stack corresponds to one of the GUIs of an application. The application controls presentation of their GUIs as cards in the card stack. The method also includes receiving user input to display another one of the GUIs as the card on top of the card stack; and, in response to the user input, displaying the other one of the GUIs as the card on top of the card stack.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Systems and methods of eye tracking control on mobile device,2017-01-01,Grant,"Methods and systems to facilitate eye tracking control on mobile devices are provided. An image of a portion of a user is received at an eye tracking device, where the image includes reflections caused by light emitted on the user from one or more light sources located within the eye tracking device. One or more eye features associated with an eye of the user is detected using the reflections. Point of regard information is determined using the one or more eye features, where the point of regard information indicates a location on a display of a computing device coupled to the eye tracking device at which the user was looking when the image of the portion of the user was taken. The point of regard information is sent to an application capable of performing a subsequent operation using the point of regard information.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Coefficients attribution for different objects based on natural language processing,2016-01-01,Grant,"In one embodiment, a method includes receiving free-form text from users of an online social network, wherein the free-form text of each input corresponds to an object associated with the online social network; determining a plurality of affinity declarations from the free-form text that are associated with the object; determining, for each affinity declaration, an affinity coefficient between a respective user and the object; and upon determining that the affinity coefficient for a threshold number of users exceeds a threshold value, creating a page associated with the object for display on the online social network.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Social caller ID with reverse look-up,2016-01-01,Grant,"Methods and systems directed to a social caller ID application that performs a reverse look up on an incoming communication to determine a specific member of a social networking system associated with the incoming communication, and, based on the social relationship between the detected member and the recipient of the communication, display particular information to the recipient. In this manner, a user is provided a caller ID system that leverages information stored remotely on a social network.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,TELEPHONIC COMMUNICATION
Adaptive antenna tracking of moving transmitters and receivers,2015-01-01,Grant,"A combined electro-mechanical adaptive antenna tracking system for wireless communication between transmitters and receivers moving relative to each other is described. This system enables one or more antenna transceivers on a moving object, such as a high altitude unmanned aerial vehicle (HALE UAV), to simultaneously track one or more separate antenna transceivers on the ground, such as multiple customer premises equipment. The antennas on the moving object are constructed with multiple-subsection phased arrays or may have multiple horns on one rotation axis. Adaptive tracking control logic is applied to synchronize electrical switch and/or mechanical rotation and electrical beamforming for the moving transceivers to track multiple ground transceivers. In one advantageous aspect, an off-the-shelf horn antenna can be used and rotated around only one axis, thereby eliminating the need for expensive two dimensional movement actuators such as gimbals and the need for tracking multiple ground based receivers.",PHYSICS,MEASURING; TESTING,RADIO DIRECTION-FINDING; RADIO NAVIGATION; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES; ANALOGOUS ARRANGEMENTS USING OTHER WAVES
Initializing camera subsystem for face detection based on sensor inputs,2017-01-01,Grant,"In one embodiment, while a mobile electronic device is in a first operation state, it receives sensor data from one or more sensors of the mobile electronic device. The mobile electronic device in a locked state analyzes the sensor data to estimate whether an unlock operation is imminent, and in response to a positive determination, initializes the camera subsystem so that the camera is ready to capture a face as soon as the user directs the camera lens to his or her face. In particular embodiments, the captured image is utilized by a facial recognition algorithm to determine whether the user is authorized to use the mobile device. In particular embodiments, the captured facial recognition image may be leveraged for use on a social network.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"PICTORIAL COMMUNICATION, e.g. TELEVISION"
Micro-route selection beam forming,2016-01-01,Grant,"Methods, systems and apparatuses for selecting beamforming parameters based on selected micro-routes are disclosed. One method includes characterizing at least one wireless link between a first node and a second node of a wireless network, including identifying a plurality of micro-routes between the first node and the second node, selecting a micro-route from the plurality of micro-routes for each of a plurality of antenna arrays of at least one of the first node or the second node, yielding a plurality of selected micro-routes, selecting beam forming parameters for each of the plurality of antenna arrays based on the plurality of selected micro-routes, and communicating at least one stream between the first node and the second node through the plurality of selected micro-routes of the plurality of antenna arrays.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,TRANSMISSION
Techniques to associate user data with a mobile device,2016-01-01,Grant,"Techniques to associate user data with a mobile device are described. In one embodiment, for example, an apparatus may comprise a service support component and a storage component. The services support component may be operative to receive a data package request from a service, the data package request comprising a network identifier for a mobile device associated with a user, and exchange a data package with the service in response to the data package request. The storage component may be operative to access the data package associated with the user based on the network identifier. Other embodiments are described and claimed. Other embodiments are described and claimed.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
User activity tracking system and device,2016-01-01,Grant,"In an embodiment, a mobile device determines sensor signals from one or more sensors of the mobile device, the sensor signals indicating motion that is associated with activities of a user of the mobile device. The mobile device determines activity types that correspond to at least a portion of the determined sensor signals. The mobile device determines activity periods of the user, each activity period corresponding to a period of time for one of the determined activity types. The mobile device then performs a heuristics-type analysis based on the length of time for each activity period and the corresponding activity types to determine whether two or more activity periods should be combined into a single activity period. The determined activity types are displayed on the mobile device.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Location based facial recognition on online social networks,2014-01-01,Grant,"In one embodiment, a computing system may access an image associated with an online social network, where the image portrays at least a first person. The computing system may determine, for each user in a first set of users, a facial recognition score with respect to the first person portrayed in the image, where the facial recognition score is based on a facial representation associated with each user of the first set of users, where the facial representation associated with each user is compared with the image, and a comparison of a location history of each user with a location associated with the image. The computing system may generate one or more tag suggestions for the first person portrayed in the image based on the determined facial recognition scores.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Systems and methods for image recognition normalization and calibration,2017-01-01,Grant,"Systems, methods, and non-transitory computer-readable media can calculate raw scores for a plurality of media items based on a classifier model and a target concept. The plurality of media items are ranked based on the raw scores. A review set of the plurality of media items is determined, the review set comprising a subset of the plurality of media items. Each of the media items of the review set is associated with a content depiction determination. A normalized score formula is calculated based on the raw scores and the content depiction determinations for the media items of the review set.",PHYSICS,COMPUTING; CALCULATING; COUNTING,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS
Search queries with previews of search results on online social networks,2015-01-01,Grant,"In one embodiment, a method includes receiving, from a client system of a first user, a text query inputted by the first user, generating a plurality of structured queries based on the text query, each structured query comprising references to one or more objects associated with the online social network, generating one or more search results corresponding to at least one of the structure queries, and sending, to the client system responsive to receiving the text query, one or more of the structured queries for display, at least one of the structured queries being displayed with a preview of one or more of the search results corresponding to the structured query.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Proxied outgoing message transmission,2016-01-01,Grant,"In particular embodiments, a mailbox server is operable to receive, from a client, a message to be delivered to an endpoint; store the message in a mailbox associated with the user; access a set of policies for the client or the endpoint; determine a delivery channel for the message based on the policies; and transmit the message to the endpoint through the delivery channel. In particular embodiments, the mailbox server may transmit SMS messages via a special bind with a recipient's SMSC, or via a carrier short code. In particular embodiments, the mailbox server may transmit the message as an email or via an internal messaging system over a packet data connection.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Techniques for call-based user verification,2016-01-01,Grant,"Techniques for call-based user verification are described. In one embodiment, for example, an apparatus may comprise a processor circuit and a storage component. The apparatus may further comprise a session component, an identification (ID) component, a mapping component, and a verification component. The session component may be operative on the processor circuit and configured to receive session data from a client device and store the session data in the storage component. The ID component may be operative on the processor circuit and configured to request ID data from a server, receive ID data from the server, and send the ID data to the client device. The mapping component may be operative on the processor circuit and configured to map the session data with the ID data.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Content access management in a social networking system for locally stored content,2011-01-01,Grant,"A content access management system receives an access determination requested identifying an access rule and a requesting user. The access rule may be created in advance by the content owner at the content access management system. The access rule may allow access to content objects based on the requesting user's biographic information, geographic information, affiliation information, payment information, or any other user characteristic. The user information may be entered by the requesting user at a social networking system interface for purposes unrelated to the content object or content owner. The content access management system retrieves the identified access rule and retrieves requesting user information based on the access rule. An access determination is made based on the retrieved access rule and requesting user information, and is transmitted to the content owner.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Multiple system images for over-the-air updates,2017-01-01,Grant,"In one embodiment, a computing device may execute software from a first portion of memory of the computing device. The computing device may download from a server a new version of the software. The client computing device may receive instructions from the server to request an over-the-air (OTA) download of the new version of the software. The instructions may be an out-of-band message. The new version of the software may be installed into a second portion of memory of the computing device, and the new version of the software is executed from the second portion of memory. The download of the new version of software may be pursuant to a manifest for the download to determine whether the computing device may download the new version of software.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Augmenting a depth map representation with a reflectivity map representation,2016-01-01,Grant,"A solution for generating a 3D representation of an object in a scene is provided. A depth map representation of the object is combined with a reflectivity map representation of the object to generate the 3D representation of the object. The 3D representation of the object provides more complete and accurate information of the object. An image of the object is illuminated by structured light and is captured. Pattern features rendered in the captured image of the object are analyzed to derive a depth map representation and a reflectivity map representation of the illuminated object. The depth map representation provides depth information while the reflectivity map representation provides surface information (e.g., reflectivity) of the illuminated object. The 3D representation of the object can be enhanced with additional illumination projected onto the object and additional images of the object.",,PHYSICS,COMPUTING; CALCULATING; COUNTING
User activity tracking system,2016-01-01,Grant,"In one embodiment, sensor signals corresponding to motions of a client device are received. Activities of a user corresponding to the client device are determined, based on a first analysis algorithm that uses the sensor signals to select activity types, each activity type corresponding to a particular time period. A reference to the selected activity types is sent to the client device. User input indicating whether the reference is correct is received from the client device. Based on the indication, which reflects the accuracy of the first analysis algorithm, a priority between the first analysis algorithm and a second analysis algorithm is determined, based on determining which analysis algorithm is more accurate.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
"Modular network switches, associated structures, and associated methods of manufacture and use",2016-01-01,Grant,"Modular network switches and other computer systems are described herein. A modular network switch can include a latching device for installing and removing computer modules (e.g., line cards) from an associated cabinet or enclosure. The network switch can also include interconnected computer modules (e.g., line cards, fabric cards, control modules, etc.) that include circuit boards oriented parallel to the flow of cooling air through the cabinet in the absence of a backplane or midplane oriented perpendicular to the air flow. The absence of such backplanes and/or midplanes provides a more direct air flow path through the cabinet, thereby enabling a more efficient flow of cooling air and lower operating temperatures. Additionally, the network switch can include an orthogonal arrangement of data planes, control planes, and/or power planes that can be efficiently interconnected to increase operational speed and further facilitate the flow of cooling air through the computer cabinet.",ELECTRICITY,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,PRINTED CIRCUITS; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS
