abstract,applicant,date_filed,inventor,p_num,title,type,url
"Exemplary methods, apparatuses, and systems include a network service receiving a request including a hyperlink. The network service acquires data from a resource referenced by the hyperlink. The network service stores the acquired data within a network service cache and sets a refresh interval. The network service utilizes the stored data to respond to additional requests including the hyperlink received during the refresh interval. The network service reacquires data from the resource after the expiration of the refresh interval. The refresh interval is updated by increasing or decreasing a frequency of the refresh interval in response to an amount of change to data associated with the resource over time.","FACEBOOK, INC.","December 27, 2013","Vojin Katic, Avichal Garg",20150186390,MAINTAINING CACHED DATA EXTRACTED FROM A LINKED RESOURCE,Application,https://patents.justia.com/patent/20150186390
Techniques for compressing images based on context are provided. A first image and a second image may be identified for display on a client device. One or more contexts of the first image may be identified. One or more contexts of the second image may be identified. A first image quality for the first image may be determined based on the one or more contexts of the first image. A second image quality for the second image may be determined based on the one or more contexts of the second image. The first image may be compressed at the first image quality and the second image at the second image quality. The compressed first image and the compressed second image may be transmitted to the client device.,"FACEBOOK, INC.","December 31, 2013","Jan Jezabek, Barak Reuven Naveh",20150187092,SYSTEMS AND METHODS FOR CONTEXT BASED IMAGE COMPRESSION,Application,https://patents.justia.com/patent/20150187092
"A social networking system generates a location store based on information received from its users. The location store includes entries having a physical location description and one or more terms associated with the physical location description. One or more entries associated with physical location descriptions within an area are identified. A local frequency of occurrence of each term in the identified entry is determined, and a global frequency of occurrence of each term in the identified entries within the location store is determined. Trending terms in the identified entries are determined based on the local frequencies and the global frequencies. Identified entries are compared to each other, with a score based on differing terms in compared entries and whether the differing terms are trending terms is generated. If a score is less than a threshold value, a combined entry is generated from the compared entries.","FACEBOOK, INC.","December 30, 2013","Marian Gelu Olteanu, Nilesh Nandan Dalvi",20150186417,Identifying Entries in a Location Store Associated with a Common Physical Location,Application,https://patents.justia.com/patent/20150186417
"In one embodiment, a method includes accessing a social graph that includes a number of nodes and edges connecting the nodes. Each of the edges between two of the nodes representing a single degree of separation between them. The nodes include a first node corresponding to a first user associated with an online social network and a plurality of second nodes that each correspond to a concept or a second user associated with the online social network. The method also includes generating a number of cards. Each card includes a suggested query referencing a query-domain associated with the online social network and zero or more query-filters for the query-domain. Each query-filter references one or more nodes of the plurality of nodes or one or more edges of the plurality of edges.","FACEBOOK, INC.","April 22, 2014","Avichal Garg, Ming Hua, Saurabh Prafulla Chakradeo",20150178283,Grouping Recommended Search Queries on Online Social Networks,Application,https://patents.justia.com/patent/20150178283
"At least one embodiment of this disclosure includes a power shelf for serving a power zone within an IT equipment rack. The power shelf includes: a DC bus configured to provide DC power to rack-mounted equipment within the power zone; multiple pairs of backup battery units (BBUs) and power supply units (PSUs), wherein the multiple pairs include at least a redundant pair, such that voltage and power is supplied through the DC bus sufficient to power the rack-mounted equipment even when one of the multiple pairs is inoperative; and a power circuit, in each PSU of each of the multiple pairs, configured to rectify an AC phase from an external multi-phase AC power source, wherein the power circuit is configured to draw power from one of the BBUs paired to the PSU when the PSU fails to provide power sufficient to power the rack-mounted equipment.",FACEBOOK. INC.,"April 11, 2014",Pierluigi Sarti,20150177808,POWER SHELF FOR COMPUTER SERVERS,Application,https://patents.justia.com/patent/20150177808
"In one embodiment, a method includes accessing a social graph that includes a number of nodes and edges connecting the nodes. Each of the edges between two of the nodes representing a single degree of separation between them. The nodes include a first node corresponding to a first user associated with an online social network and a plurality of second nodes that each correspond to a concept or a second user associated with the online social network. The method also includes generating a card cluster including a number of cards. Each card includes a suggested query referencing a query-domain associated with the online social network and zero or more query-filters. Each query-filter references one or more nodes of the plurality of nodes or one or more edges of the plurality of edges.","FACEBOOK, INC.","April 22, 2014","Avichal Garg, Ming Hua, Michael Vernal, Yang Qin, Dan Ionut Fechete",20150178284,Ranking Recommended Search Queries on Online Social Networks,Application,https://patents.justia.com/patent/20150178284
"A time a user of a client application is likely to access a preferred network connection is predicted. A pre-download index for one or more multimedia content items is calculated, where the pre-download index represents how likely the user is to interact with the one or more multimedia content items at approximately the predicted time. The indexed multimedia content items are ranked based on the pre-download index of each of the one or more multimedia content items. The ranked multimedia content items are provided to the client application at the predicted time.","FACEBOOK, INC.","December 24, 2013","Daniel Shabtai, Justin Shaffer",20150178370,SYSTEMS AND METHODS FOR PREDICTIVE DOWNLOAD,Application,https://patents.justia.com/patent/20150178370
"Competitive bidding tools, including a competitive bidding scaler tool and a competitive report generator, may be implemented by an advertiser to improve their advertisement's performance in online advertising auctions. The competitive bidding scaler tool increases the bid amount associated with an advertiser's ad request when a competing advertiser submits a rival ad request to the same online advertising auction. The competitive report tool generates a competitive report for an ad request that benchmarks its performance against rival ad requests. The competitive report comprises a summary of wins and losses experienced by the ad request in an online advertising auction as well as an option to implement the competitive bidding scaler tool for the ad request.","FACEBOOK, INC.","December 9, 2013","Yi Tang, Qiao Lian",20150161679,Competitive Bidding Scalers For Online Advertising Auctions,Application,https://patents.justia.com/patent/20150161679
"In particular embodiments, a computing device provides for presentation a user interface including a first interactive element. The computing device receives first user input selecting the first interactive element and, in response to the first user input, provides for presentation a second interactive element. The second interactive element may be associated with functionality to dismiss the first interactive element. The computing device receives second user input comprising moving the first interactive element toward the second interactive element. In response to the first interactive element being within a particular distance of the second interactive element and receiving third user input, the computing device removes the first interactive element and the second interactive element from presentation in the user interface.","FACEBOOK, INC.","December 6, 2013","Brandon Marshall Walkin, Francis Luu, William Joseph Flynn, III, William Tyler",20150160832,Dismissing Interactive Elements in a User Interface,Application,https://patents.justia.com/patent/20150160832
"Competitive bidding tools, including a competitive bidding scaler tool and a competitive report generator, may be implemented by an advertiser to improve their advertisement's performance in online advertising auctions. The competitive bidding scaler tool increases the bid amount associated with an advertiser's ad request when a competing advertiser submits a rival ad request to the same online advertising auction. The competitive report tool generates a competitive report for an ad request that benchmarks its performance against rival ad requests. The competitive report comprises a summary of wins and losses experienced by the ad request in an online advertising auction as well as an option to implement the competitive bidding scaler tool for the ad request.","FACEBOOK, INC.","December 9, 2013","Yi Tang, Qiao Lian",20150161680,Competitive Benchmark Reporting For Online Advertising Auctions,Application,https://patents.justia.com/patent/20150161680
"In one embodiment, at run-time, a query engine may receive a request to populate properties of an application class with data. The query engine may use reflection to inspect the application class and identify at least one platform interface providing properties of the application class. The query engine may then generate a query for a specific service associated with the platform interface. The query engine may then retrieve data from the service. After receiving a response from the service, the query engine may use reflection to bind the retrieved data to properties of the application class and return the application class in response to the request. The query engine may have previously analyzed a schema identifying data types provided by the service and generated, based on the schema, platform classes and platform interfaces.","FACEBOOK, INC.","December 11, 2013",Ronen Pinko,20150161199,Service-Abstracting Query Interface,Application,https://patents.justia.com/patent/20150161199
"A social networking system generates an advertisement, a recommended budget, and recommended targeting criteria for an object maintained by the social networking system for presentation to social networking system users. Information associated with the object by the social networking system is used to generate elements of the advertisement, the recommended budget, and the recommended targeting criteria. Different budgets, each associated with a predicted return on investment, may be determined, allowing an advertiser to select a budget based on the return the advertiser receives from presentation of the advertisement. Additionally, an advertiser may modify the recommended targeting criteria, recommended budget, or elements of the generated advertisement to customize presentation or distribution of the advertisement.","FACEBOOK, INC.","December 11, 2013","Dong Guo, Mark Kar Hong Wong, William Schurman",20150161673,SIMPLIFIED CREATION OF ADVERTISEMENTS FOR OBJECTS MAINTAINED BY A SOCIAL NETWORKING SYSTEM,Application,https://patents.justia.com/patent/20150161673
"In particular embodiments, a computing device accesses data associated with a first user of a social-networking system. Based at least in part on the data, the computing device determines a current availability of the first user to communicate with a second user of the social-networking system in substantially real time. The availability of the first user is determined based at least in part on a reachability of the first user and a willingness to communicate of the first user. The computing device provides for display to the second user an indication of the current availability of the first user as determined.","FACEBOOK, INC.","December 5, 2013","David Harry Garcia, III, Raymond Endres, Nikhil Bobde",20150163258,Indicating User Availability for Communication,Application,https://patents.justia.com/patent/20150163258
"In particular embodiments, a computing device provides for presentation a user interface including an image. The computing device receives user input to proceed to a second view of the image and, in response to the user input, provides for presentation the second view of the image.","FACEBOOK, INC.","December 6, 2013","Brandon Marshall Walkin, Francis Luu, William Joseph Flynn, III, William Tyler",20150160808,Zoom Interactions in a User Interface,Application,https://patents.justia.com/patent/20150160808
"The principles described herein provide methods and systems of providing a user interface to allow a user to compose and send an electronic communication quickly and conveniently. For example, a user interface includes split-pane interface having a navigable tray area and a composition area. The navigable tray area may include categories of trays, each tray including a navigable listing of content items that may form part of the electronic communication. The navigable tray area allows the user to navigate from one tray to the next to access different types of content items to be used in composing the electronic communication. When composing an electronic communication, a user can select an item in a tray, and the item is previewed in the composition area and can become part of the electronic communication.","FACEBOOK, INC.","November 27, 2013","Brandon Marshall Walkin, Michael James Matas",20150149927,COMMUNICATION USER INTERFACE SYSTEMS AND METHODS,Application,https://patents.justia.com/patent/20150149927
"Exemplary methods and systems for enabling a multi-merchant gift card program are disclosed. In particular, the present application details exemplary methods and systems for obtaining merchant identification information associated with a merchant. Upon obtaining the merchant identification for a merchant, the present application further details exemplary methods and systems for enabling a gift card services for the merchant.","FACEBOOK, INC.","November 27, 2013","Lee Charles Linden, Neville S. Bowers, Ted Edward E. Zagat",20150149353,METHODS AND SYSTEMS FOR OBTAINING MERCHANT IDENTIFICATION WITHIN PAYMENT AUTHORIZATION NETWORKS,Application,https://patents.justia.com/patent/20150149353
"In particular embodiments, a client computing device identifies an available timeslot for displaying content on a screen. The client computing device notifies one or more applications of the available timeslot and receives from each of one or more applications a bid to fill the available timeslot with content associated with the application. Each bid indicates the application, indicates a format of the content associated with the application, and provides at least a portion of the content associated with the application. The client computing device selects one of the bids and displays in the available timeslot on the screen the content associated with the selected bid with the format indicated by the selected bid.","FACEBOOK, INC.","November 22, 2013",Luke St. Clair,20150149289,PROVIDING CONTENT IN A TIMESLOT ON A CLIENT COMPUTING DEVICE,Application,https://patents.justia.com/patent/20150149289
"In one embodiment, a method includes receiving a request from a client computing device of a user to access a communication network; and identifying a particular tier for the client computing device from among a number of tiers of service based at least in part on social-graph information of the user. Each tier of service includes one or more session settings of the communication network. The method also includes configuring a session of the communication network for the client computing device based at least in part on one or more of the session settings of the identified tier of service; and establishing the configured session between the client computing device and the communication network.","FACEBOOK, INC.","November 27, 2013","Charles J. Hughes, Michael John McKenzie Toksvig",20150149649,Varied Wi-Fi Service Levels,Application,https://patents.justia.com/patent/20150149649
"The principles described herein provide methods and systems of providing a user interface to allow a user to compose and send an electronic communication quickly and conveniently. For example, a user interface includes split-pane interface having a navigable tray area and a composition area. The navigable tray area may include categories of trays, each tray including a navigable listing of content items that may form part of the electronic communication. The navigable tray area allows the user to navigate from one tray to the next to access different types of content items to be used in composing the electronic communication. When composing an electronic communication, a user can select an item in a tray, and the item is previewed in the composition area and can become part of the electronic communication.","FACEBOOK, INC.","November 27, 2013","Brandon Marshall Walkin, Michael James Matas",20150149930,COMMUNICATION USER INTERFACE SYSTEMS AND METHODS,Application,https://patents.justia.com/patent/20150149930
"An online system identifies a conversion of an advertisement when a client device associated with an online system user is within a threshold distance of a physical location associated with the advertisement. The client device sends obfuscated information identifying the user associated with the client device and the location of the client device to an independent third party when the client device is within a threshold distance of the physical location associated with the advertisement. Using information from the client device, the third party requests information from the online system identifying one or more groups including the user. Based on information identifying groups including various online system users, the third party generates information identifying conversions associated with different groups. The online system may determine effectiveness of various advertisements using the information from the third party identifying conversions associated with different groups.","FACEBOOK, INC.","November 20, 2013","Matthew Nicholas Papakipos, Michael John Toksvig, Charles Joseph Hughes",20150142551,OFFLINE CONVERSION MEASUREMENT FOR ADVERTISEMENTS PRESENTED TO USERS OF AN ONLINE SYSTEM,Application,https://patents.justia.com/patent/20150142551
A social networking system associates identification information with combinations of values used to generate a dynamically-created advertisement. Interactions with the dynamically-created advertisement by social networking system users are also associated with the dynamically-created advertisement. The social networking system uses the identification information to present the same combination of values used to generate the dynamically-created advertisement to additional social networking system users.,"FACEBOOK, INC., A DELAWARE CORPORATION","November 21, 2013","Scott Aaron Shapiro, Shreehari Manikarnika, Brian M. Wrightson, Saket Jalan, Gang Wu",20150142583,PRESENTING CONTENT ITEMS ASSOCIATED WITH DYNAMICALLY-CREATED ADVERTISEMENTS TO USERS OF A SOCIAL NETWORKING SYSTEM,Application,https://patents.justia.com/patent/20150142583
A social networking system identifies users to receive a recommendation to establish a connection to an object maintained by the social networking system. The social networking system determines one or more classifiers identifying attributes of users to receive the recommendation based on attributes of users connected to the object and additional users connected to those users. The attributes of an additional user may be weighted by a factor that provides a measure of the overlap between the attributes of the additional user and a user connected to the object.,"FACEBOOK, INC.","November 19, 2013",Deepayan Chakrabarti,20150142721,Selecting Users to Receive a Recommendation to Establish Connection to an Object in a Social Networking System,Application,https://patents.justia.com/patent/20150142721
"In one embodiment, a method includes receiving, by a client computing device, an input associated with a user interface of an application. The user interface may include multiple elements. The client computing device may transition from a first state of the application to a second state of the application based on the input. The client computing device may then determine one or more listeners associated with the application that are registered to receive information when the second state of the application is entered. The client computing device may provide information associated with the second state of the application to one or more of the listeners, and the listeners may implement one or more changes to one or more elements of the user interface in response to the transition to the second state of the application.","FACEBOOK, INC.","November 18, 2013","William S. Bailey, Jenny Yuen, Victor Gonçalves Elias",20150143260,State-Machine-Driven User-Interface Interactions,Application,https://patents.justia.com/patent/20150143260
"Techniques to rate-adjust data usage on mobile devices using a virtual private network are described. In one embodiment, an apparatus may include a processor circuit, and an application component operative on the processor circuit to present a link to third party data, receive a control directive to follow the link, and to request to access the third party data. The apparatus may also include a client virtual private network (VPN) component operative on the processor circuit to communicate with a server having a server VPN component, receive the request to access the third party data from the application component, determine whether the accessing is rate-adjusted, and connect to a source of the third party data via the server VPN component. Other embodiments are described and claimed.","FACEBOOK, INC.","November 12, 2013","RAN MAKAVY, BRENON ROBERTO",20150135303,TECHNIQUES TO RATE-ADJUST DATA USAGE WITH A VIRTUAL PRIVATE NETWORK,Application,https://patents.justia.com/patent/20150135303
"A social networking system allows users to create collections including objects associated with products, services, games, videos, books or other similar items. An object is associated with a type and one or more actions are associated with the type to identify actions capable of being performed on the object. When an object is presented to a user, the type of the object is compared to types of objects capable of being included in a collection. If the type of the object is capable of being included in a collection, one or more collections associated with actions associated with the type of the object are identified. Information describing the identified collections is generated and presented to the user. By selecting information identifying a collection, the user includes the object in the collection corresponding to the selected information.","FACEBOOK, INC.","November 12, 2013","Kyle Philip Meyer, Rose Bihui Yao, Matthew Vincent Sain, Christopher Alexander Gist",20150134659,DETERMINING COLLECTIONS CAPABLE OF INCLUDING AN OBJECT PRESENTED BY A SOCIAL NETWORKING SYSTEM,Application,https://patents.justia.com/patent/20150134659
"In one embodiment, a method includes receiving a request to display a media plug-in on a third-party website hosted by a third-party system, determining media content associated with the request to display the media plug-in, and determining whether the third-party website is being viewed by a user that is currently logged in to the social-networking system. The method further includes determining one or more user-selectable objects based at least on the determined media content and the determination of whether the user is currently logged in to the social-networking system and providing the determined one or more user-selectable objects for display in the media plug-in on the third-party website. The third-party system is separate from the social-networking system. The user-selectable objects, once selected, cause an action related to the determined media content.","FACEBOOK, INC.","November 1, 2013","Erick Tseng, Yoon Kean Wong",20150127727,Media Plug-In for Third-Party System,Application,https://patents.justia.com/patent/20150127727
"In one embodiment, a method includes receiving a touch input within a particular region of a display area of the computing device. The display area presents a user interface (UI) including a number of views organized in a hierarchy. One or more of the views has a gesture recognizer configured to process a touch input detected within the regions of the display area associated with each of the views. Each of the views corresponds to one or more regions of the display area. One or more of the gesture recognizers has one or more intervention conditions. A particular one of the views is a default view to process the touch input. The method also includes evaluating the intervention conditions to identify a particular one of the views from among the number of views to process the touch input.","FACEBOOK, INC.","November 4, 2013",Brian D. Amerige,20150128086,Intervention Conditions,Application,https://patents.justia.com/patent/20150128086
"To enhance user engagement with a page posts maintained by a social networking system, a social networking system reviews posts associated with a page (e.g., a business or brand page) in a social networking system and measures a degree of user engagement with each post at one or more measures of exposure (e.g., time points or impressions). The social networking system then identifies posts for which the user engagement exceeds a threshold as high engagement or “hot” posts. An administrator associated with the page is notified of the identified high engagement post and can use this information for further promotion or boosting of the identified high engagement post.","FACEBOOK, INC.","November 1, 2013","Brian Piepgrass, Atol Fortin de Oliveira, Bin Jiang, Simon Goldman",20150127418,NOTIFYING AN ADVERTISER OF HIGH ENGAGEMENT POSTS IN A SOCIAL NETWORKING SYSTEM,Application,https://patents.justia.com/patent/20150127418
"Techniques to leverage data from mobile headers are described. In one embodiment, for example, an apparatus may comprise a network component, a data component, and a web component. The network component may be operative to receive a request for a web page from a phone, the request transmitted using one or more network packets, and to transmit the web page to the phone. The data component may be operative to extract a phone number from a header of the one or more network packets. The web component may be operative to customize the web page based on the extracted phone number. Other embodiments are described and claimed.","FACEBOOK, INC.","October 23, 2013","Tony Fu, Denise Moreno, Danni Liang",20150113381,TECHNIQUES TO LEVERAGE DATA FROM MOBILE HEADERS,Application,https://patents.justia.com/patent/20150113381
"Techniques for asynchronous rendering are described. An apparatus may comprise a character set converter application, an index server, and a ranking application. The character set converter application may receive a search string comprised of one or more first character set characters, and convert the search string to one or more second character set characters that are different than the first character set. The index server may execute a search on the converted search string to obtain ranked individual search results. The ranking application may compare any first character set characters in the ranked individual search results to the first character set characters in the search string and sub-rank the ranked individual search results based on the strength of any matches. Other embodiments are described and claimed.","FACEBOOK, INC.","December 15, 2014","Kuan-Yu Tseng, Lin-Shun Huang, Yueh-Hsuan Chiang, Chun-Yang Chen",20150112977,TECHNIQUES FOR RANKING CHARACTER SEARCHES,Application,https://patents.justia.com/patent/20150112977
"In one embodiment, one or more server computing devices receive, from a client computing device, a request for first information associated with a first node of a graph. The one or more server computing devices determine whether the first node is associated with a cluster of nodes. A cluster of nodes includes one or more concept nodes of the graph that are related to each other. When the first node is associated with a cluster of nodes, the one or more server computing devices access the cluster of nodes that the first node is associated with, obtain second information from one or more of the nodes in the cluster of nodes that the first node is associated with, and provide the second information for rendering by the client computing device.","FACEBOOK, INC.","October 23, 2013","Ashish Wahi, Andrew Rothbart, Ming Hua, Rose Yao",20150113060,NODE PROPERTIES IN A SOCIAL-NETWORKING SYSTEM,Application,https://patents.justia.com/patent/20150113060
"Dynamic web page generation is optimized by reducing the processing overhead required to parse the web page HTML code for tokens and insert dynamic content. Using the invention, an HTML file for a dynamic web page need be read and parsed only once throughout the life of the server. A software object parses the HTML, decomposes the page into constituent pieces and saves them to data structures as byte streams, which are cached, along with the software object, rendering multiple disk accesses unnecessary when the page is reconstituted. For subsequent requests, the dynamic page is created from the cached version, which is shareable across users and across requests. The optimization reduces server resource usage for dynamic page generation to near zero. The invention is also applicable to other documents combining static and dynamic content that require composition tools for editing.","FACEBOOK, INC.","December 30, 2014","Keith Bernstein, Robert Kieffer",20150113366,METHODS FOR DYNAMIC DOCUMENT GENERATION,Application,https://patents.justia.com/patent/20150113366
"An audio identification system generates a reference audio fingerprint associated with an event. The reference audio fingerprint is generated from samples of an audio signal associated with the event captured by multiple devices. To generate the reference audio fingerprint, fingerprints are generated from each sample, and the generated fingerprints are temporally aligned. Fingerprints associated a temporally overlapping portion of the audio signal are averaged, and the average value is associated with the temporally overlapping portion of the audio signal and included in the reference audio fingerprint. The reference audio fingerprint is stored along with identifying information, such as an event name, an event time, an event date, or other information describing the event associated with the audio signal from which the samples were captured.","FACEBOOK, INC., A DELAWARE CORPORATION","October 11, 2013",Sergiy Bilobrov,20150104023,Generating A Reference Audio Fingerprint For An Audio Signal Associated With An Event,Application,https://patents.justia.com/patent/20150104023
"To promote an object maintained by a social networking system, an advertiser identifies the object to the social networking system. Based on the user interaction with one or more posts associated with the object, the social networking system selects one or more candidate posts from the one or more posts. Promotion efficacies of each candidate post for a group of users having one or more common demographic characteristics are determined and a candidate post is selected based at least in part on the promotion efficacies. The selected candidate post may be identified to the advertiser or presented to additional users having the common demographic characteristic by the social networking system.","FACEBOOK, INC.","October 14, 2013","Dong Guo, Mark Kar Hong Wong, Abheek Anand",20150106192,IDENTIFYING POSTS IN A SOCIAL NETWORKING SYSTEM FOR PRESENTATION TO ONE OR MORE USER DEMOGRAPHIC GROUPS,Application,https://patents.justia.com/patent/20150106192
"In particular embodiments, a client computing device of a user provides for presentation a user interface that includes one or more components. The client computing device may receive an indication of a message to the user. The client computing device may automatically modify the user interface to accommodate presentation of an interactive element associated with the message. The client computing device may modify the user interface at least in part by automatically modifying one or more of the components. The client computing device may automatically provide for presentation the user interface as modified and the interactive element associated with the message.","FACEBOOK, INC.","October 10, 2013","Michael Matas, Brandon Marshall Walkin",20150106731,POSITIONING OF COMPONENTS IN A USER INTERFACE,Application,https://patents.justia.com/patent/20150106731
"Exemplary methods and systems for dynamically processing payment authorization requests for gift card purchases. An exemplary method includes maintaining information associated with a gift card, receiving a payment authorization request for the gift card from a particular merchant, detecting a trigger associated with the received payment authorization request, and sending, based on the detected trigger, a response to the payment authorization request. Corresponding methods and systems are also disclosed.","FACEBOOK, INC.","October 10, 2013","Lee Linden, Neville Bowers, Ted Zagat",20150106263,METHODS AND SYSTEMS FOR DYNAMICALLY PROCESSING CARD PAYMENT AUTHORIZATION REQUESTS,Application,https://patents.justia.com/patent/20150106263
"In one embodiment, a method includes determining one or more motions of a camera, where the motions correspond to movements of the camera during recording of a multimedia clip. The method also includes determining one or more amounts of light present during the recording, and from the determined motions and amounts of light, determining a motion-blur metric for the multimedia clip. The method further includes determining whether to apply a video-stabilization routine to the multimedia clip based on the motion-blur metric.","FACEBOOK, INC.","October 11, 2013",Alexandre Karpenko,20150103189,Applying Video Stabilization to a Multimedia Clip,Application,https://patents.justia.com/patent/20150103189
"Embodiments of the present invention relate generally to marketing products through a social networking system. More specifically, one or more embodiments of the present invention relate to allowing social networking users to purchase products through the social networking system and to add products to shopping carts associated with third-party merchants.","FACEBOOK, INC.","May 15, 2014","Lee Charles Linden, Benjamin Lewis, Deborah Liu, Mary Ku, Stephanie Shum, Neville S. Bowers",20150100458,SYSTEMS AND METHODS FOR USING A SOCIAL NETWORKING SYSTEM TO PURCHASE PRODUCTS,Application,https://patents.justia.com/patent/20150100458
"An online system applies position discounts to values of various content items based on the positions in a display in which the content items are presented. The value of presenting a content item is based on historical user interactions with the content item or similar content items. A position discount reflects a change between user interacting with a content item presented in a position offset from a reference position and user interaction with the content item if it was presented in the reference position. A position discount may be determined for various content items presented in one or more positions based on user-specific, contextual, and other types of information describing user interaction with content items. Position discounts may be used by the online system to optimize selection and presentation of content items to its users.","FACEBOOK, INC.","October 9, 2013","Yintao Yu, Tao Xu, Lars Backstrom",20150100415,Position Discount Model Of Content Presented To Online System Users,Application,https://patents.justia.com/patent/20150100415
"Embodiments of the present invention relate generally to marketing products through a social networking system. More specifically, one or more embodiments of the present invention relate to allowing social networking users to purchase products through the social networking system and to add products to shopping carts associated with third-party merchants.","FACEBOOK, INC.","May 21, 2014","Lee Charles Linden, Benjamin Lewis",20150100459,SYSTEMS AND METHODS FOR USING A SOCIAL NETWORKING SYSTEM TO ADD PRODUCTS TO SHOPPING CARTS OF THIRD-PARTY MERCHANTS,Application,https://patents.justia.com/patent/20150100459
"An online system enables developers of third-party applications to specify online system users to receive advertisements. The online system generates and sends a user-specific identifier for online system users that use a third-party application when an advertiser associated with the third-party application requests a user-specific identifier from the online system. For example, the online system retrieves user identifying information associated with a client device identifier provided by an advertiser and generates a user identifier by encrypting the retrieved user identifying information. The advertiser may include one or more user-specific identifiers in an advertisement request sent to an online system to present an advertisement in the advertisement request to online system users corresponding to the user-specific identifiers.","FACEBOOK, INC.","September 23, 2013","Greg Schechter, Benjamin Golub, Vladimir Fedorov, Jason Scott Sobel",20150088663,Targeting Advertisements To Customized Groups Of Users Of An Online System,Application,https://patents.justia.com/patent/20150088663
"Based on prior interactions associated with a user, an online system predicts an amount of interaction by the user with an object associated with an advertisement. Using the predicted amount of user interaction, the online system determines an expected value of presenting the advertisement to the user. The advertisement is ranked among other advertisements based on the expected values associated with the advertisements, and one or more advertisements are selected for presentation to the user based on the ranking. An advertisement may also specify a threshold amount of interaction with an associated object as targeting criteria, so the predicted amount of interaction with the object associated with the advertisement may determine if a user is eligible to be presented with the advertisement.","FACEBOOK, INC., A DELAWARE CORPORATION","September 23, 2013","Eitan Shay, Stuart Michael Bowers, Richard Bill Sim, Jun Yang",20150088644,Predicting User Interactions With Objects Associated With Advertisements On An Online System,Application,https://patents.justia.com/patent/20150088644
"In one embodiment, a method includes receiving, from a user of a client computing device and when the client computing device is disconnected from an on-line service, input associated with the on-line service. The method further includes locally storing or modifying locally stored content associated with the on-line service based on the input. The client computing device may determine data contemporaneous with the content and locally associate the data with the content. The method further includes automatically uploading the content as locally stored or modified and the data locally associated with the content to the on-line service when the client computing device is connected to the on-line service.","FACEBOOK, INC.","September 18, 2013","David Linsalata, Rajat Kansal, Alexei Gousev, Andreas Nomikos",20150081630,Generating Offline Content,Application,https://patents.justia.com/patent/20150081630
"Techniques for smart data routing are described. A system may include a storage module configured to store network conditions for a plurality of networks and locations and a server device. The server device may be configured to determine network conditions for each of a plurality of networks and locations based upon detected usage of at least one mobile application being accessed via each of the plurality of networks and in each of the locations. Determined network conditions may be stored at the storage module. The server may be further configured to receive a request for a communication from a client device. Based upon at least the determined network conditions, the server may be configured to determine routing information for the communication. Once determined, the server may be configured to provide the routing information for the communication to the client device.","FACEBOOK, INC.","July 23, 2014","Yael Maguire, Damian Kowalewski, Giovanni Coglitore, Aaron Samuel Bernstein",20150081884,TECHNIQUES FOR SMART DATA ROUTING,Application,https://patents.justia.com/patent/20150081884
"Techniques for mobile device personalization are described. In an embodiment, user credentials for an online service are received at a mobile device kiosk. The user credentials may be authenticated and, upon authentication, user data associated with the user credentials may be transferred to a mobile device of the mobile device kiosk. The user data may be transferred between the mobile device kiosk and a wireless transmitter embedded on a printed circuit board (PCB) of the mobile device. Further, the user data may be transferred to the mobile device without powering on the mobile device. Once the data transfer is complete, the mobile device may be provided to a user.","FACEBOOK, INC.","June 20, 2014","Yael MAGUIRE, Fraidun AKHI",20150079935,TECHNIQUES FOR MOBILE DEVICE PERSONALIZATION,Application,https://patents.justia.com/patent/20150079935
"Techniques for phone number and data management are described. A storage module may be configured to store contact information for a plurality of users, which may be members of a social network. A server device may be configured to receive a SIM change event from a mobile device associated with a first user of the plurality of users. The SIM change event may include updated contact information for the first user. The server may further be configured to identify one or more users from the plurality of users associated with the first user, and provide the updated contact information to one or more mobile devices associated with the one or more identified users.","FACEBOOK, INC.","May 23, 2014","Yael Maguire, Damian Kowalewski, Giovanni Coglitore, Aaron Bernstein, Fraidun Akhi",20150079961,TECHNIQUES FOR PHONE NUMBER AND DATA MANAGEMENT,Application,https://patents.justia.com/patent/20150079961
"Techniques for multi-protocol peer-to-peer connection are described. An apparatus may comprise a discovery component to discover a remote device using a first protocol, and receive discovery information from the remote device, the discovery information including protocol information. The apparatus may comprise an authentication component to authenticate the remote device. The apparatus may comprise a connection component to establish a peer-to-peer connection with the remote device using a second protocol based on the protocol information. Other embodiments are described and claimed.","FACEBOOK, INC.","June 20, 2014","Yael MAGUIRE, Damian KOWALEWSKI, Bin LIU, Wai Davidgeolim Lim, Caitlin Elizabeth KALINOWSKI",20150082382,TECHNIQUES FOR MULTI-STANDARD PEER-TO-PEER CONNECTION,Application,https://patents.justia.com/patent/20150082382
"To increase the likelihood of a user viewing content items previously identified for presentation but not viewed by the user, a social networking system accesses a view state associated with the user that identifies content items provided to the user and provided content items viewed by the user. Based on the view state, content items previously provided to the user but not viewed by the user are identified. Additional content items whose state has changed since presentation of the content items to the user are also identified. Content items previously presented to the user but not viewed with at least a threshold relevance to the user are ranked along with the additional content items. Based on the ranking, content items are selected for presentation to the user.","FACEBOOK, INC.","September 19, 2013","Hong Ge, Lars Seren Backstrom",20150081449,Selecting Content Items For Presentation To A Social Networking System User In A Newsfeed,Application,https://patents.justia.com/patent/20150081449
