abstract,assignee,date_filed,date_issued,inventor,p_num,title,type,url
"Systems, methods, and non-transitory computer-readable media can receive a first image including a representation of a first user. A second image including a representation of a second user can be received. A first set of poselets associated with the first user can be detected in the first image. A second set of poselets associated with the second user can be detected in the second image. The first image including the first set of poselets can be inputted into a first instance of a neural network to generate a first multi-dimensional vector. The second image including the second set of poselets can be inputted into a second instance of the neural network to generate a second multi-dimensional vector. A first distance metric between the first multi-dimensional vector and the second multi-dimensional vector can be determined.","FACEBOOK, INC.","October 3, 2016","July 11, 2017","Lubomir Bourdev, Ning Zhang, Balamanohar Paluri, Yaniv Taigman, Robert D. Fergus",9704029,Systems and methods for identifying users in media content based on poselets and neural networks,Grant,https://patents.justia.com/patent/9704029
"In one embodiment, a method includes receiving a request to execute first program code that is configured to perform a step of a computation, wherein the request includes a current state of the computation, determining whether the first program code is to be invoked based on an execution condition, when the execution condition is true, executing the first program code based on the current state of the computation, and returning a response that includes a result of executing the first program code, and when the execution condition is false, returning a response indicating that the result of the executing is invalid. The execution condition may be false when an amount of time that has passed since a previous execution of the first program code is greater than a threshold time limit.","FACEBOOK, INC.","July 18, 2014","July 11, 2017","Ari Alexander Grant, Jonanthan P. Dann",9703615,Stepped sizing of code execution,Grant,https://patents.justia.com/patent/9703615
"In one embodiment, a method includes a search engine of an online social network crawling a first webpage of a first web domain, where the first webpage includes links to one or more second webpages, each of which may be within a second web domain, accessing a domain ranking for each second web domain, where for each second web domain the domain ranking may be based on one or more domain-quality signals associated with the second web domain, where the domain-quality signals may include a measure of activations of social plug-ins of the online social network associated with webpages of the second web domain, selecting one or more of the second webpages to crawl based at least in part on the domain ranking of the second web domain associated with the second webpage, and the search engine of the online social network crawling each selected second webpage.","FACEBOOK, INC.","November 5, 2014","July 11, 2017",Vojin Katic,9703870,Social-based optimization of web crawling for online social networks,Grant,https://patents.justia.com/patent/9703870
"A social networking system user identifies one or more social networking system users authorized to present content items to the user via the social networking system (“authorized users”). When an additional user requests presentation of a content item to the user, the social networking system determines if the additional user is an authorized user. If the additional user is an authorized user, the content item is presented to the user. However, if the additional user is not an authorized user, the social networking system identifies the additional user to the user along with a request to identify the additional user as an authorized user. If the user identifies the additional user as an authorized user in response to the request, the content item is presented to the user.","FACEBOOK, INC.","August 5, 2014","July 11, 2017","Samantha P. Krug, Kevin York Systrom, Ryan Jacob Gomba, Michel Krieger, Hui Ding, Ian McIntyre Silber, Peter Xiu Deng",9705687,Applying user-specified permissions to distribution of content items to social networking system users,Grant,https://patents.justia.com/patent/9705687
"An online social network is managed using one server for database management tasks and another server, preferably in a distributed configuration, for CPU-intensive computational tasks, such as finding a shortest path between two members or a degree of separation between two members. The additional server has a memory device containing relationship information between members of the online social network and carries out the CPU-intensive computational tasks using this memory device. With this configuration, the number of database lookups is decreased and processing speed is thereby increased.","FACEBOOK, INC.","December 30, 2015","July 11, 2017","Nicholas Galbreath, Mirko Predosin",9703879,Graph server querying for managing social network information flow,Grant,https://patents.justia.com/patent/9703879
Unique identifiers (IDs) associated with a plurality of nodes may be provided. Nodes clustered within a community may be assigned numerically proximate unique IDs. A number of partitions associated with a plurality of machines may be determined. The unique IDs may be segmented into divisions based on the number of partitions. The unique IDs may be mapped to the plurality of machines based on the divisions.,"FACEBOOK, INC.","October 7, 2013","July 11, 2017","Stephen Charles Heise, Alessandro Presta, Arun Sharma, Jianming Wu",9705801,Systems and methods for mapping and routing based on clustering,Grant,https://patents.justia.com/patent/9705801
"A first device may communicate by joining a wireless mesh network that includes at least one wireless device configured to operate a wireless routing protocol, discovering a group of other wireless devices configured to participate in the wireless mesh network, and accessing an interest metric for a second wireless device in the group of other wireless devices. The interest metric is based in part on a network topology from the wireless mesh network. The interest metric is related to an interest threshold and it is determined whether relating the interest metric to the interest threshold supports enabling messaging communications. If so, messaging communications may be enabled.","FACEBOOK, INC.","March 14, 2013","July 11, 2017",David S. Bill,9706598,Metric-based wireless networking,Grant,https://patents.justia.com/patent/9706598
"Embodiments are disclosed for improving precoder-matrix computations in a MIMO base station. Particularly, various embodiments implement methods for interpolating pilot signal results from multiple calibration transmissions. A subchannel of a resource block is selected as an anchor subchannel and the channel matrices for each subchannel are then determined using weights associated with each subchannel that are determined from the subchannel's distance away from the anchor subchannel. Selecting variable subchannels allows the accuracy of the channels matrices for the subchannels to be tailored where more accuracy is desired.","FACEBOOK, INC.","March 9, 2016","July 11, 2017","Ali Yazdan Panah, Karthik Yogeeswaran",9705707,Estimating signals in sub-sampled systems,Grant,https://patents.justia.com/patent/9705707
Particular embodiments receive a plurality of touch events detected by a touchscreen. The display refresh rate may not be synchronized with a touch response rate of the touchscreen. Each touch event may be associated with at least one position on the touchscreen. A correlation between the touch events and a display refresh rate of the touchscreen may be determined. At least one position for display output may be extrapolated based on the touch events for the purpose of smoothing the display output. Additional positions for display output may be extrapolated based on the touch events for the purpose of predicting display output. Display information may be provided based on the touch events and the extrapolated positions.,"FACEBOOK, INC.","January 24, 2013","July 11, 2017","Benoit Schillings, Feng Qian, Jonathan Kaldor, George Djabarov",9703473,Predicting touch input,Grant,https://patents.justia.com/patent/9703473
"The invention provides a system and method for analyzing a collection of communication messages. The communication messages may be any one of a collection of electronic mail messages, voicemail messages, instant messaging dialogues and other forms of communications. The collections of communications, such as electronic mail messages, may be selected by a user and then subsequently processed to determine the identity of any of the user's contacts within the communications. The contacts may then be arranged in a relative priority arrangement whereby contacts which have been identified as engaging in prior reciprocal communications with the user are given higher priority. Higher priority may also be given to contacts which engage in more recent communications with the user. Specific contact relationships may be inferred from the communications depending on whether specific contacts are repeatedly mentioned within the communication messages.","FACEBOOK, INC.","July 9, 2014","July 11, 2017","Ellen Isaacs, Bonnie A. Nardi, Stephen Whittaker",9705834,System and method for analyzing communications,Grant,https://patents.justia.com/patent/9705834
"Techniques for a custom short message service center are described. An apparatus may comprise a custom short message service center (SMSC) comprising a reception component, a transmission component, and a control component. The reception component may be operative to receive a short message service (SMS) message for communication to a device from a sender. The transmission component may be operative to initiate transmission of the message to the device. The control component may be operative to monitor the transmission of the message to the device. Other embodiments are described and claimed.","FACEBOOK, INC.","March 13, 2013","July 11, 2017","Adriel Frederick, Antony Fu, Martin Rehwald, Denise Moreno, Surendra Gadodia",9706398,Techniques for a custom short message service center,Grant,https://patents.justia.com/patent/9706398
"Exemplary methods, apparatuses, and systems receive a request from a user to access content for a group of users of a social networking system, and send the content to the user including an interface to a third party system. The interface is to enable the user to retrieve information related to a third party service from the third party system to share with the group. The user sends the information related to the third party service to share with the group to the social networking system. The social networking system sends the shared information related to the third party service to a group member based on the group member requesting access to the content. In one embodiment, the third party service stores a file or folder on a third party server and the shared information includes a link to the shared file or folder.","FACEBOOK, INC.","March 15, 2013","July 4, 2017","Sizhe Chen, Kenneth Lau, Thomas Whitnah, Richard Armbrust, Todd Jackson",9699187,Social networking groups as a platform for third party integration,Grant,https://patents.justia.com/patent/9699187
None,"FACEBOOK, INC.","June 17, 2016","July 11, 2017","Kashif Ali, Philip Bourgeois, Charles Putland, Aaron Neuhauser",D791767,Communications base station,Grant,https://patents.justia.com/patent/D791767
None,"FACEBOOK, INC.","October 22, 2013","August 1, 2017","Brandon Marshall Walkin, Francis Luu, William Joseph Flynn, III, William Tyler",D793410,Portion of a display screen with graphical user interface,Grant,https://patents.justia.com/patent/D793410
"In one embodiment, a method includes displaying one or more first content items on a screen of an electronic device, the first content items being part of a series of content items; and in response to a user input with respect to the first content items, displaying an animation sequence depicting one or more second content items replacing the first content items on the screen of the electronic device, the second content items being part of the series of content items; and displaying the second content items on the screen of the electronic device.","FACEBOOK, INC.","November 14, 2012","July 4, 2017",Michael Matas,9696898,Scrolling through a series of content items,Grant,https://patents.justia.com/patent/9696898
"Scripts are incrementally compiled at runtime to generate executable code. The incremental compilation generates executable code corresponding to a basic block of the script. The executable code for a basic block of script is generated for a set of types of variables of the basic block resulting from execution of the script in response to a request. The generated executable code is stored and executed for subsequent requests if these requests result in the same types of variables for the basic block. The incremental compilation of the script is performed in a lazy fashion, such that executable code is not generated for combinations of types of variables of the script code that are not obtained from requests received at runtime. The script may dynamically generate portions of a web page that is returned in response to a request for execution of the script.","FACEBOOK, INC.","May 28, 2015","July 4, 2017","Keith Adams, Andrew John Paroski, Jason Owen Evans",9697022,Run time incremental compilation of script code,Grant,https://patents.justia.com/patent/9697022
"In one embodiment, a computing device determines a touch gesture on a touch screen of the computing device. The touch gesture includes two or more data points that each correspond to a particular location on the touch screen and a particular point in time. For each of one or more of the data points, the computing device adjusts a time value representing its particular point in time. For each of one or more of the data points, the computing device adjusts a position value representing its particular location on the touch screen. The computing device fits a curve to the two or more data points to determine a user intent associated with the touch gesture.","FACEBOOK, INC.","September 22, 2015","July 4, 2017",Jonathan M. Kaldor,9696850,Denoising touch gesture input,Grant,https://patents.justia.com/patent/9696850
"The disclosure is directed to storing data in different tiers of a database based on the access pattern of the data. Immutable data, e.g., data that does not change or changes less often than a specified threshold, is stored in a first storage tier of the database, and mutable data, e.g., data that changes more often than immutable data, is stored in a second storage tier of the database. The second storage tier of the database is more performant than the first storage tier, e.g., the second storage tier has a higher write endurance and a lower write latency than the first storage tier. All writes to the database are performed at the second storage tier and reads on both storage tiers. The storage tiers are synchronized, e.g., the set of data is copied from the second to the first storage tier based on a trigger, e.g., a specified schedule.","FACEBOOK, INC.","July 16, 2014","July 4, 2017","Narsing Vijayrao, Hongzhong Jia, Jason Taylor, Mark Douglas Callaghan, Domas Mituzas",9697247,Tiered data storage architecture,Grant,https://patents.justia.com/patent/9697247
"A digital audio gateway device for use in a wireless network of digital audio playback devices. The gateway device is wirelessly linked to one or more digital audio playback devices to provide a gateway to the Internet for the digital audio playback devices. In addition to functioning as a gateway, the device provides additional functionality and may act as a cache of digital audio data for the various digital audio players connected in the wireless network and may also act to automatically update digital audio content on the audio players, synchronize digital audio content and playlists between the digital audio players and continue automatically or upon user request a particular playlist as the user moves from one digital audio player to another.","FACEBOOK, INC.","September 13, 2012","July 4, 2017","Jeffrey Jonathan Spurgat, Stephen Christopher Gladwin, Hoyet Harrison Andrews, III",9699015,Continuous digital content presentation across multiple devices,Grant,https://patents.justia.com/patent/9699015
"In particular embodiments a social networking system may receive authorization from a first user of a social-networking system to control at least in part one or more functions of a set-top box (STB) of the first user, determine one or more social actions of one or more second users of the social-networking system, determine one or more instructions for the STB of the first user based at least in part on the social actions, and provide the instructions for the STB of the first user. The social-networking system includes a graph having a plurality of nodes and edges connecting the nodes.","FACEBOOK, INC.","August 31, 2012","July 4, 2017","Cameron Alexander Marlow, David Harry Garcia, Erick Tseng, Brian Krausz",9699485,Sharing television and video programming through social networking,Grant,https://patents.justia.com/patent/9699485
"Providing supplemental contact information for an individual referenced in an electronic message typically includes receiving an electronic message, examining the electronic message, detecting an identifier for a referenced individual contained in the electronic message, and making supplemental contact information for the referenced individual available to a recipient of the electronic message. The supplemental contact information may include information that is in addition to information contained in the electronic message. The supplemental contact information may include at least one of an e-mail address, a screen name, a telephone number, a facsimile number, and a mailing address each of which is associated with the referenced individual.","FACEBOOK, INC.","March 4, 2013","July 4, 2017",Barry Appelman,9699122,User interfaces for providing supplemental contact information corresponding to a referenced individual,Grant,https://patents.justia.com/patent/9699122
"Identifying whether an image includes a search image can be accomplished using region analysis and/or parts model analysis. Region analysis can include dividing a received image into regions and analyzing each region by: enlarging the region, applying a gradient histogram transformation to the enlarged region, and comparing the transformed region, at various angles, to a set of search patterns. Parts model analysis can include identifying key features of an image such as prominent lines or areas, objects or object edges, consecutive colors; generating one or more parts models from the key features by representing the key features as geometric objects; and comparing each parts model, at various angles, to a set of search patterns. The comparison employed in region analysis or parts model analysis can employ classifiers trained on the search images.","FACEBOOK, INC.","May 18, 2015","July 4, 2017",Giridhar Rajaram,9697437,Logo detection,Grant,https://patents.justia.com/patent/9697437
"In one embodiment, a social-networking system accesses a social graph with a plurality of user nodes and a plurality of location nodes, receives a search query with location parameters, identifies a set of location nodes based on the search query, and determines a value for each location nodes in the set based on the edges connected to the location nodes in the social graph.","FACEBOOK, INC.","December 8, 2014","July 4, 2017","Brian Piepgrass Hale, Rohit Dhawan, Nicolas Andrij Bushak, Thomas Giovanni Carriero",9697260,Social discovery and ranking of pages,Grant,https://patents.justia.com/patent/9697260
A procedure to establish a link in a directional wireless system where two nodes cannot listen to each other unless optimized beamforming pair is used and timing and framing synchronization is acquired. The procedure determines a set of beamforming pairs that the nodes can use for communication in addition to acquiring the framing and timing synchronization. Training packets are periodically transmitted by a transmitter while a receiver listens in each of a number of receive directions. Training packets are sent N times in N directions while a receiver listens in each of M receive directions until all N×M possible transmit and receive direction pair possibilities are tried. The receiver informs the transmitter which transmit and receive direction pairs were successful in creating communication links between the nodes.,"FACEBOOK, INC.","December 31, 2015","July 4, 2017","Sanjai Kohli, Djordje Tujkovic, Kirshna Gomadam",9698885,Link acquistion in directional wireless systems,Grant,https://patents.justia.com/patent/9698885
"Methods and systems to facilitate eye tracking control calibration are provided. One or more objects are displayed on a display of a device, where the one or more objects are associated with a function unrelated to a calculation of one or more calibration parameters. The one or more calibration parameters relate to a calibration of a calculation of gaze information of a user of the device, where the gaze information indicates where the user is looking. While the one or more objects are displayed, eye movement information associated with the user is determined, which indicates eye movement of one or more eye features associated with at least one eye of the user. The eye movement information is associated with a first object location of the one or more objects. The one or more calibration parameters are calculated based on the first object location being associated with the eye movement information.","FACEBOOK, INC.","February 14, 2014","July 4, 2017","Javier San Agustin Lopez, John Paulin Hansen, Sebastian Sztuk, Martin Henrik Tall",9693684,Systems and methods of eye tracking calibration,Grant,https://patents.justia.com/patent/9693684
"A social networking system provides relevant content objects at the request of social networking system users. Relevance scores are determined for content objects by matching user location, user interests, and other social information to the content, location, and timing associated with content objects. A ranked list of content objects can be provided to the user, where the content objects are relevant to them based on their interests, location, and other social information. The system provides a user interface that displays a map containing pins, where each pin represents a content object in actionable proximity to a user. The content objects selected to be presented as pins to the user are those content objects with sufficiently high relevance scores. Multiple pins for a nearby area can be clustered. The user can switch between zoom levels for the map, thereby showing pins at varying distances from the user's current location.","FACEBOOK, INC.","August 4, 2011","June 27, 2017","Erick Tseng, Matthew Cahill",9691073,Displaying social opportunities by location on a map,Grant,https://patents.justia.com/patent/9691073
A social networking system receives contact information from a social networking system user. The received contact information is stored and associated with a user profile in the social networking system including information matching at least a portion of the stored content information. This increases the information associated with the user profile. Subsequently received content information is compared to user profiles and stored contact information associated with one or more user profiles. User profiles including information matching at least a portion of the subsequently received content information or associated with stored contact information matching at least a portion of the subsequently received content information are identified as potential connections for the user providing the subsequently received contact information.,"FACEBOOK, INC.","December 19, 2016","June 27, 2017","Michael Nicholas Hudack, Christopher Turitzin, Edward Baker, Hao Xu",9690863,Associating received contact information with user profiles stored by a social networking system,Grant,https://patents.justia.com/patent/9690863
"A Next Generation Data Network is described. It leverages the “cloud” for data management, frequency data computation and analytics. Training signals are transmitted in a number of different transmit directions and attempted to be received in a number of different receive directions in order to create a radio frequency map of transmit/receive directions that allow a communication path to be created between nodes of the network. The wireless network is a single frequency network that permits limited non-line-of-sight operation.","FACEBOOK, INC.","October 8, 2015","June 27, 2017",Sanjai Kohli,9692490,Radiofrequency map creation for data networks,Grant,https://patents.justia.com/patent/9692490
"A map interface presents a geographic map with markers identifying geographic locations associated with content items. When the geographic distance between two or more content items is less than a threshold distance, multiple content items are grouped to create an aggregated content item. Based on the geographic locations associated with the grouped content items, a geographic location is associated with the aggregated content item. A single marker identifies the geographic location for the aggregated content item on the geographic map. When a user viewing the map interface accesses the single marker, content selected from the content items combined to generated the aggregated content item is presented as well as the geographic location associated with the aggregated content item.","FACEBOOK, INC.","September 20, 2012","June 27, 2017","Thomas Andrew Watson, Jonathan McCord, Justin Alexander Shaffer, Ross David Bayer",9691128,Aggregating and displaying social networking system user information via a map interface,Grant,https://patents.justia.com/patent/9691128
"In one embodiment, a method includes receiving a message associated with a user at an information exchange system. At least one correspondent associated with the user may be determined, based on the message. A social connection between the user and the at least one correspondent may be assessed with respect to a social-networking system. The information exchange system may provide an interface for display to the user, the interface comprising information associated with the message. If the social connection is confirmed, the interface may include social-networking information associated with the at least one correspondent. Otherwise, the interface may provide functionality to create a social connection between the user and the at least one correspondent with respect to the social-networking system.","FACEBOOK, INC.","April 9, 2015","June 27, 2017","Kiranjit Singh Sidhu, Florin Ratiu, Alexander Paul Schultz, David Y. Chen",9692814,Integrating social-networking information,Grant,https://patents.justia.com/patent/9692814
"Online systems, for example, social networking systems store features describing relations between entities represented in the online system. The information describing the features is represented as a graph. The online system maintains a cumulative feature graph and an incremental feature graph. Feature values based on recent user actions are stored in the incremental graph and feature values based on previous actions are stored in the cumulative graph. Periodically, the information stored in the incremental feature graph is merged with the information stored in the cumulative feature graph. The incremental graph is marked as inactive during the merge and information based on new user actions is stored in an active incremental feature graph. If a request for feature information is received, the feature information obtained from the cumulative feature graph, inactive incremental feature graph and the active incremental feature graph are combined to determine the feature information.","FACEBOOK, INC.","May 26, 2015","June 27, 2017","Ming Hua, Hong Yan",9690871,Updating features based on user actions in online systems,Grant,https://patents.justia.com/patent/9690871
"In one embodiment, a method includes receiving, from beacons of a third-party content provider (e.g., a business), session information for users of an online social network. A mobile device of each user may have been in at least one wireless communication session with at least one beacon, and during the session the mobile device was proximate to the at least one beacon. The session information may include an identifier for each of the users, which may be used to access social-networking information for each user. A report of business insights may be generated based on aggregated social-networking information (e.g., demographics) and aggregated session information (e.g., average duration of sessions) of the users. For example, the report may include statistics regarding the business' clientele. User-specified permissions may delimit which information may be included in the report. The report may be sent to a third-party system for display.","FACEBOOK, INC.","December 9, 2014","June 27, 2017","Michael James LeBeau, Samuel Wharton Lessin, Joseph David Barillari, Amir Shimoni, Arlene Gabriana Murillo, Mateusz Marek Niewczas, Manish Modi, Caitlin E. Kalinowski",9692838,Generating business insights using beacons on online social networks,Grant,https://patents.justia.com/patent/9692838
Technology is provided for a server platform with a continuously powered server sled. The server platform includes a cubby chassis including partitions defining a plurality of sled positions. A power tray is located in a corresponding one of the plurality of sled positions and a server sled is positioned on and continuously powered by the power tray. The power tray includes a tray chassis having a tray sidewall and a tray bottom wall. A pair of elongate conductors extend along the tray sidewall. A tray connector is mounted on the tray bottom wall and is in electrical communication with the pair of elongate conductors. The server sled includes a sled chassis having a chassis sidewall and a chassis bottom wall. A side-plane printed circuit board is mounted to the chassis sidewall and includes a pair of conductive elements positioned for sliding contact with the elongate conductors.,"FACEBOOK, INC.","June 3, 2016","June 27, 2017",Jon Brian Ehlen,9693477,Continuously powered server sled,Grant,https://patents.justia.com/patent/9693477
"In one embodiment, a method includes determining a maximum exposure time for capturing one or more image frames of a video clip. The maximum exposure time represents an exposure time below which the captured image frames are substantially free of motion-blur artifacts and above which the captured image frames exhibit motion-blur artifacts. The method also includes capturing the image frames with an exposure time that is less than or equal to the maximum exposure time.","FACEBOOK, INC.","September 2, 2015","June 27, 2017",Alexandre Karpenko,9692972,Stabilization of low-light video,Grant,https://patents.justia.com/patent/9692972
"The disclosed techniques provide systems and methods for detecting coordinated attacks on social networking databases containing personal end-user data. More specifically, various advanced persistent threat (APT) detection procedures are described that explore the commonality between specific targets of various private data accesses. In one embodiment, a threat detection tool is configured to process various private data accesses initiated by a source user account in order to identify associated query structures. The tool then applies one or more filters to the private data accesses to identify a subset of the private data accesses that have query structures indicating specific targets and processes these specific targets to determine if an access pattern exists. The access pattern can indicate, for example, a measure of commonality among two or more of the specific targets. If an access pattern exists, the threat detection tool can trigger an alarm.","FACEBOOK, INC.","March 11, 2013","June 27, 2017","Srinath Anantharaju, Chad Greene",9690931,Database attack detection tool,Grant,https://patents.justia.com/patent/9690931
"In one embodiment, a method includes receiving, from a client system of a first user of an online social network, a first structured query comprising a natural-language string generated by a grammar model and references to one or more objects associated with the online social network, generating one or more query modifications for the first structured query, each query modification comprising references to one or more modifying objects associated with the online social network, and sending, to the client system of the first user, one or more of the query modifications as suggested modifications to the first structured query for display to the first user, each query modification being selectable by the first user to modify the natural-language string of the first structured query to further comprise references to the one or more of the modifying objects referenced in the selected query modification.","FACEBOOK, INC.","March 17, 2016","June 27, 2017","Thomas S. Whitnah, Olivier Chatot, Erik N. Vee, William R. Maschmeyer, Keith L. Peiris, Alexander Langenfeld",9690872,Modifying structured search queries on online social networks,Grant,https://patents.justia.com/patent/9690872
A method of operation of a bundle management system includes: generating a resource bundle with client-based script code based on a client device condition of a potential client device; generating a condition map correlating the client device condition to the resource bundle; generating a bundle set including the resource bundle based on a developer version of the client-based script code; uploading the condition map to a web service system; and configuring the web service system to operate a web service corresponding to the developer version of the bundle set.,"FACEBOOK, INC.","September 24, 2014","June 27, 2017","Vladimir Kolesnikov, Andrey Sukhachev",9690568,Client-side script bundle management system,Grant,https://patents.justia.com/patent/9690568
Technology is provided for a memory drive carrier. The memory drive carrier adapts a memory drive for insertion into a drive bay that is larger than the memory drive. The memory drive carrier includes an adapter body having a frame that defines an envelope compatible with the drive bay. The adapter body also includes a plurality of spaced apart walls defining a slot sized to receive the memory drive and position the memory drive's connector within the envelope adjacent an associated drive connector of the drive bay. The frame includes a plurality of interconnected wall portions and partitions that have one or more vent openings.,"FACEBOOK, INC.","April 6, 2015","June 27, 2017",Jon Brian Ehlen,9691435,Memory drive storage tray and memory drive carrier for use therewith,Grant,https://patents.justia.com/patent/9691435
"In one embodiment, a method includes receiving, from a client system of a first user, a query comprising one or more n-grams, parsing the one or more n-grams of the query to identify a first query constraint and one or more second query constraints, wherein the first query constraint has been previously flagged as identifying greater than a threshold number of objects, generating a query command based on the query, wherein the query command comprises an inverse constraint associated with the first query constraint and the one or more second query constraints, and generating one or more search results based on the query command, each search result corresponding to an object of a plurality of objects.","FACEBOOK, INC.","October 17, 2016","June 27, 2017","Rajat Raina, Kihyuk Hong, Sriram Sankar, Kittipat Virochsiri, Michael Curtiss, Chaitanya Mishra",9690826,Using inverse operators for queries,Grant,https://patents.justia.com/patent/9690826
"Technology is provided for a storage device storage tray for use with one or more storage devices. The storage device storage tray includes a chassis having at least one storage region and a storage frame positioned in the storage region that is pivotably coupled to the chassis. The storage frame is pivotable between a storage position and an access position whereby a plurality of drive bays can be accessed. The storage frame includes first and second substantially parallel panels and a backplane extending between the first and second substantially parallel panels. A plurality of dividers are positioned between the first and second substantially parallel panels to define a plurality of stack regions, wherein each divider includes a ledge member dividing each stack region into a pair of the drive bays configured to receive a storage device.","FACEBOOK, INC.","November 13, 2015","June 27, 2017",Jason David Adrian,9690335,Storage device storage tray,Grant,https://patents.justia.com/patent/9690335
"In one embodiment, a method includes receiving a request from an application for access to a service. The application is one of a number of applications that each includes software for accessing the service. The method includes selecting one of the applications to use to access the service, and providing the requesting application access to the service through the selected application's software for accessing the service.","FACEBOOK, INC.","January 9, 2015","June 27, 2017","Francislav Penov, Michael J. Marucheck, Austin Randolph Longino",9692837,Federated application services,Grant,https://patents.justia.com/patent/9692837
New functionality to be added to a web-based application and a desktop application is expressed as declarative and/or procedural code that a conventional rendering engine of the web-based application and the desktop application can use to directly update the state of the applications. Users need not update client-side components—such as the desktop application and/or any plug-ins used by the browser hosting the web-based application—to take advantage of new types of functionality.,"FACEBOOK, INC.","January 23, 2013","June 27, 2017","Arieh Steinberg, Jack O'Conner",9692854,Communication between a web-based application and a desktop application,Grant,https://patents.justia.com/patent/9692854
"Techniques for zero rating through web reconstruction are described. In one embodiment, an apparatus may comprise a client access component operative to receive a web request from a client device, the web request for a web page hosted on a network server device; and transmit a zero-rating transformed web page to the client device in response to the web request; and a web reconstruction component operative on the processor circuit to retrieve the web page from the network server device; identify one or more non-zero-rated resource references in the retrieved web page; transform the one or more non-zero-rated resource references to form one or more zero-rated resource references; and replace the one or more non-zero-rated resource references with the one or more zero-rated resource references in the web page to form the zero-rating transformed web page. Other embodiments are described and claimed.","FACEBOOK, INC.","May 8, 2015","June 27, 2017","Lior Tubi, Dekel Schmuel Naar, Roi Tiger, Guy Rosen, Joshua Ryan Lauer, Xiaoliang Wei",9692909,Techniques for zero rating through web reconstruction,Grant,https://patents.justia.com/patent/9692909
"Systems, methods, and non-transitory computer readable media configured to create, process, and/or modify images are provided. Recipient image data associated with an original image captured by a second computing system can be received by a first computing system. A first intermediate image may be generated based on the recipient image data. A first viewable image for display on the first computing system may be generated based on the first intermediate image.","FACEBOOK, INC.","August 23, 2016","June 27, 2017",Alexandre Karpenko,9691126,Systems and methods for recipient-side image processing,Grant,https://patents.justia.com/patent/9691126
"In one embodiment, a method includes presenting a comment icon in connection with a third-party application, the comment icon being associated with a first party and enabling a user to compose comment concerning the third-party application; and while the user is interacting with the third-party application, in response to the user activating the comment icon, creating a comment post concerning the third-party application; enabling the user to input comment inside the comment post; and enabling the user to submit the comment post to the first party for publication.","FACEBOOK, INC.","November 14, 2012","June 20, 2017",Michael Matas,9684935,Content composer for third-party applications,Grant,https://patents.justia.com/patent/9684935
"Systems, methods, and apparatuses for providing local favorites are described. In some embodiments, the method entails receiving an indication from a first user of the social network of a local favorite to add or change on the local favorites page for a particular geographic location, updating the first user's local favorites page based on the received indication and storing the updated page in a database of the social network, and creating and publishing a posting regarding the first user's updated local favorites page on the social network on behalf of the first user of the social network.","FACEBOOK, INC.","March 15, 2013","June 20, 2017","Kelly Stonelake, Thomas Brown",9684936,"Methods, systems, and user interfaces for presenting local favorites",Grant,https://patents.justia.com/patent/9684936
"A arbitrated image classifier can be trained to identify whether an image contains specified features, such as sexual, violent, or other potentially objectionable content. An arbitrated image classifier can include a configuration of classifiers and an arbitrator that determines a final image classification based on classification results from the classifiers. An arbitrated image classifier can be trained to identify image features by dividing images labeled as including or not including a specified feature into portions, which are provided to the classifiers of the arbitrated image classifier. The arbitrator of the arbitrated image classifier can determine a result for whether or not the image includes the specified feature. If the final result does not match the image label, parameter values for various of the classifiers or the arbitrator combining procedure can be adjusted. A trained arbitrated image classifier can then be used to determine whether new images include the particular feature.","FACEBOOK, INC.","November 16, 2016","June 20, 2017","Ahmad Abdulmageed Mohammed Abdulkader, Giridhar Rajaram",9684851,Objectionable content detector,Grant,https://patents.justia.com/patent/9684851
"Systems, methods, and non-transitory computer-readable media can determine a geographical area associated with a crisis. A first user within the geographical area can be identified based on locational data associated with the first user. Information about a safety status of the first user can be actively requested or acquired from the first user. The safety status of the first user can be broadcasted, communicated, or provided to at least a second user associated with the first user.","FACEBOOK, INC.","September 11, 2014","June 20, 2017","Peter Michael Cottle, Sharon Zeng, Jean Carla Ablaza Echevarria, Jasmine R. Friedl, Cameron Chuk Hing Wu, Brian Paihan Sa, Abhishek Parthasarathy",9686663,Systems and methods for acquiring and providing information associated with a crisis,Grant,https://patents.justia.com/patent/9686663
"In particular embodiments, one or more computer systems of a social-networking system determine a first media device of a first user of a social-networking system and determine a second media device of a second user of the social-networking system. The one or more computer systems access a social graph of the social-networking system, update the social graph based on the determined first and second media devices, and stream media from the first media device to the second media device using the updated social graph. The social graph includes nodes and edges connecting the nodes, the nodes including user nodes that are each associated with a particular user of the social-networking system and concept nodes that are each associated with a particular media device.","FACEBOOK, INC.","July 10, 2015","June 20, 2017","David Harry Garcia, Brian Krausz, Erick Tseng",9686337,Sharing television and video programming through social networking,Grant,https://patents.justia.com/patent/9686337
