,album,artist,lyrics,song,sentiments
21,Illuminate (Deluxe),Shawn Mendes,"Hey, how's it going?
Can you meet me down on Adelaide Street?
Can you talk for a moment?
There's no way to say this that easily
And everything I said, I swear I meant it
I need to tell you that this isn't your fault
And I know that I'll probably regret it
And it kils me, 'cause the worst part of all

Is that I hate to hurt you
But I got to be honest
I can't give you what you need
Oh, you deserve more
Than I can promise
And I'm just trying to, I'm just trying to
Baby, I'm just trying to be honest
Yeah, I'm trying to be honest with you
You know that I'm sorry 
But I'm trying to be honest with you

Hey, can you listen?
I swear to God to you there's nobody else
You're gonna say that I'm lying
When I tell you every feeling I've felt
Was honest and sincere and that you were different
And when we kissed, I felt like that kid in love, yeah
And I know that I'll probably regret it
I might wish I never said this at all

Oh, I hate to hurt you
But I got to be honest
I can't give you what you need
Oh, you deserve more
Than I can promise
And I'm just trying to, I'm just trying to
Baby, I'm just trying to be honest
Yeah, I'm trying to be honest with you
You know that I'm sorry 
But I'm trying to be honest with you

Oh oh oh, I don't wanna see you cry
Oh oh oh, swear that I don't wanna see you cry

'Cause I hate to hurt you
But I got to be honest
I can't give you what you need
Oh, you deserve more
Than I can promise
And I'm just trying to, I'm just trying to
Baby, I'm just trying to be honest

Is that I hate to hurt you
But I got to be honest
I can't give you what you need
Oh, you deserve more
Than I can promise
And I'm just trying to, I'm just trying to
Baby, I'm just trying to be honest",Honest,"[{'score': 0.566878, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.925837, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
22,Illuminate (Deluxe),Shawn Mendes,"You pick me up, it's late at night
This is the same old story
Your friends should take your phone away
I always give in when you 
Tell me lies to reassure me
I always make the same mistakes, yeah

Ooh, you give me a little taste
Lure me in then you take it from me
Oh, I hate that I love you
'Cause you're driving me crazy

First you say you love me, then you say you don't
I wake up in the morning and I'm all alone
Tell me that you're willing, then you say you won't
Can you make your mind up 'cause I'm losing my patience
You know I'm losing my patience, yeah

I'm in your room, it's just us two
I feel you getting closer
You rest your head upon my chest
Deep down I know that this should be
The last time I come over
You always leave me such a mess

Ooh, you give me a little taste
Lure me in then you take it from me
Oh, I hate that I love you
'Cause you're driving me crazy

First you say you love me, then you say you don't
I wake up in the morning and I'm all alone
Tell me that you're willing, then you say you won't
Can you make your mind up 'cause I'm losing my patience
You know I'm losing my patience, yeah

And you gotta stop if you know
So I can start letting go
'Cause it's driving me crazy
Yeah, you keep driving me crazy

When you say you love me, then you say you don't
I wake up in the morning and I'm all alone
Tell me that you're willing, then you say you won't
Yeah you're driving me crazy

First you say you love me, then you say you don't
I wake up in the morning and I'm all alone
Tell me that you're willing, then you say you won't
Can you make your mind up 'cause I'm losing my patience
You know I'm losing my patience, yeah
Please, I'm losing my patience, yeah",Patience,"[{'score': 0.51248, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.540538, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.719734, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
23,Illuminate (Deluxe),Shawn Mendes,"She got a bad reputation
She takes the long way home
And all of my friends seen her naked
Or so the story goes
Mistakes, we all make them
But they won't let it go, no
'Cause she got a bad reputation
But I know what they don't

And I don't care what they say about you, baby
They don't know what you've been through
Trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

She got a bad reputation
Nobody gets too close
A sight of a soul when it's breaking
Making my heart grow cold
And into the deep where she's sinking
I'm begging her, please, don't let go
'Cause she's got a bad reputation
But she's all that, all I want though

And I don't care what they say about you, baby
They don't know what you've been through
And trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

Nobody knows the way that I, I know her
Said, nobody knows the weight that's on her shoulders
Said, nobody knows the way that I, I know her
Said, she got a bad, she got a bad
Nobody knows the way that I, I know her
Said, nobody knows the weight that's on her shoulders
Said, nobody knows the way that I, I know her
Said, she got a bad, she got a bad

And I don't care what they say about you, baby
They don't know what you've been through
And trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

And I don't care what they say about you, baby
They don't know what you've been through
And trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

She got a bad reputation
She takes the long way home",Bad Reputation,"[{'score': 0.660079, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
24,Illuminate (Deluxe),Shawn Mendes,"Am I asking all these questions for nothing?
I'm wondering if anyone's there, yeah
And I really need to make a confession
I hate to say that I'm a little bit scared, yeah

But I've been on this train too long
People getting off and on
Praying that I don't forget where I belong
And every time I ask myself,
""Am I turning into someone else?""
I'm praying that I don't forget just who I am
I really wanna understand
I just wanna understand

I'm calling all my friends after midnight, yeah
To remind them that I'll always be there for them
It gets lonely when there's no one to talk to
But it's good to know that somebody cares

'Cause I've been on this train too long
People getting off and on
Praying that I don't forget where I belong
And every time I ask myself,
""Am I turning into someone else?""
I'm praying that I don't forget just who I am
I really wanna understand
I just wanna understand

'Cause we all get lost sometimes, yeah
Yeah we all get lost sometimes
But don't leave your heart behind
'Cause we all get lost sometimes
I really wanna understand
I just gotta understand, yeah
No, I just need to, I need to understand
I really wanna understand, oh, who I am

spoken:
When you wake up, your whole world's flipped
It's just different, and you gotta, you know you gotta
You gotta go with it and that's just simply growing up
And not see it in a negative way
You have to see it as it's been given to you
I mean, as much as times can be crazy
You're gonna feel like that's where you're supposed to be
You're not gonna feel out of place anymore
You're gonna feel like that's where you were meant to be
You don't have to pretend that it's easy all the time
You just let it go and, and grow with it
And you can't hold on to the old you
Or the old this or the old that
Because you know, you change
And it's not changing in a bad way, it's just changing
Because that's what happens in life,
You grow up, everyone moves on
You're just learning, you stay true to yourself
Changing isn't a bad thing, it never was
But at the end of the day, you know, you're the same person
And, and where your heart is, that doesn't change

And every time I ask myself
""Am I turning into someone else?""
And I just pray to God that I'm still who I am
I really wanna understand
I just gotta understand, yeah
No I just need to, I need to understand
I really wanna understand, oh, who I am",Understand,"[{'score': 0.508259, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.781818, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
25,Illuminate (Deluxe),Shawn Mendes,"Stop, take it in and I
Breathe for a minute, I
Think too much when I'm alone
I never win when I
Keep all my thoughts inside
So I'll pick up the phone

And my dad says ""Shawn, stay with me
Everything will be alright
I know I haven't seen you lately
But you're always on my mind
I don't know what you're going through
But there's so much life ahead of you
And it won't slow down, no matter what you do
So you just gotta hold on, all we can do is hold on""

These days are flying by
Weeks feel like minutes, I
Can't remember being small
I'll try to figure it out
I can't seem to find out how
I guess I don't know much at all

And my dad says ""Shawn, stay with me
Everything will be alright
I know I haven't seen you lately
But you're always on my mind
I don't know what you're going through
But there's so much life ahead of you
And it won't slow down, no matter what you do
So you just gotta hold on, all we can do is hold on
All we can do is hold on, yeah you just gotta hold on
Just hold on, just hold on for me""

And my dad says ""Shawn, stay with me
Everything will be alright
I don't know what you're going through
But there's so much life ahead of you
And it won't slow down, no matter what you do
So you just gotta hold on, all we can do is hold on
Yeah you just gotta hold on, just hold on for me""",Hold On,"[{'score': 0.591547, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
26,Illuminate (Deluxe),Shawn Mendes,"It's not that I'm afraid I'm not enough for her
It's not that I can't find the words to say
But when she's with him, she seems happier
And I don't wanna take that away

How many times can I see your face?
How many times will you walk away?
I just have to let you know

I'm not trying to start a fire with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me if I'm wrong and this is crazy
But I got you this rose and I gotta know
Will you let it die or let it grow?
Die or let it go, oh

It's not that I don't care about the love you have
It's not that I don't want to see you smile
But there's no way that he can feel the same
'Cause when I think of you my mind goes wild

How many times can I see your face?
How many times will you walk away?
I just have to let you know

I'm not trying to start a fire with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me if I'm wrong, and this is crazy
But I got you this rose and I need to know
Will you let it die or let it grow?

You could tell me to stop if you already know
Though I'm not sure my heart can take it 
But the look on your face says ""don't let me go""

I'm not trying to start a fire with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me if I'm wrong, and this is crazy
But I got you this rose and I need to know
Will you let it die or let it go?

I'm not trying to start a fire with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me if I'm wrong, and this is crazy
But I got you this rose and I need to know
Will you let it die or let it grow?",Roses,"[{'score': 0.61721, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.649743, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.550999, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.839264, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
27,Handwritten (Deluxe),Shawn Mendes,"I love it when you just don't care
I love it when you dance like there's nobody there
So when it gets hard, don't be afraid
We don't care what them people say
I love it when you don't take no
I love it when you do what you want 'cause you just said so
Let them all go home, we out late
We don't care what them people say

We don't have to be ordinary
Make your best mistakes
'Cause we don't have the time to be sorry
So baby be the life of the party
I’m telling you to take your shot
It might be scary
Hearts are gonna break
'Cause we don't have the time to be sorry
So baby be the life of the party

Together we can just let go
Pretending like there’s no one else here that we know
Slow dance fall in love as the club track plays
We don’t care what them people say

We don't have to be ordinary
Make your best mistakes
'Cause we don't have the time to be sorry
So baby be the life of the party
I’m telling you to take your shot
It might be scary
Hearts are gonna break
'Cause we don't have the time to be sorry
So baby be the life of the party

Come out tonight, come out tonight
There's no one standing in your way
Come out tonight, come out tonight
We don't care what them people say
We don't care what them people say

We don't have to be ordinary
Make your best mistakes
'Cause we don't have the time to be sorry
So baby be the life of the party
I'm telling you to take your shot
It might be scary
Hearts are gonna break
'Cause we don't have the time to be sorry
So baby be the life of the party

Yeah, yeah, yeah
Life of the party
So don’t let them keep you down
Oh you know you can’t give up
'Cause we don’t have the time to be sorry
So baby be the life of the party",Life Of The Party,"[{'score': 0.66257, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
28,Handwritten (Deluxe),Shawn Mendes,"I thought that I'd been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
I'm shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches

Tripping over myself,
I'm aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Just like a moth drawn to a flame
Oh, you lured me in, I couldn't sense the pain
Your bitter heart cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
I'm shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches

Tripping over myself,
I'm aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Needle and the thread,
Gotta get you out of my head
Needle and the thread,
Gonna wind up dead

Needle and the thread,
Gotta get you out of my head
Needle and the thread,
Gonna wind up dead

Needle and the thread,
Gotta get you out of my head
Needle and the thread,
Gonna wind up dead

Needle and the thread,
Gotta get you out of my head, get you out of my head

You watch me bleed until I can't breathe
I'm shaking, falling onto my knees (falling on my knees)
And now that I'm without your kisses
I'll be needing stitches (and I'll be needing stitches)

Tripping over myself,
I'm aching begging you to come help (begging, ""Baby, please"")
And now that I'm without your kisses
I'll be needing stitches

(And now that)
I'm without your kisses
I'll be needing stitches
(And now that)
I'm without your kisses
I'll be needing stitches",Stitches,"[{'score': 0.621034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.502201, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
29,Handwritten (Deluxe),Shawn Mendes,"I promise that one day I'll be around 
I'll keep you safe, I'll keep you sound 
Right now it's pretty crazy 
And I don't know how to stop or slow it down 

Hey I know there are some things 
We need to talk about 
And I can't stay 
So let me hold you for a little longer now 

Take a piece of my heart 
And make it all your own 
So when we are apart 
You'll never be alone
You'll never be alone

You'll never be alone 
When you miss me close your eyes 
I may be far, but never gone 
When you fall asleep tonight, 
Just remember that we lay 
Under the same stars 

Hey I know there are some things 
We need to talk about 
And I can't stay 
So let me hold you for a little longer now 

Take a piece of my heart 
And make it all your own 
So when we are apart 
You'll never be alone
You'll never be alone

You'll never be alone
You'll never be alone
You'll never be alone
You'll never be alone
You'll never be alone
You'll never be alone

Take a piece of my heart 
And make it all your own 
So when we are apart 
You'll never be alone
You'll never be alone",Never Be Alone,"[{'score': 0.543513, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.56687, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
30,Handwritten (Deluxe),Shawn Mendes,"I know that we just met
Maybe this is dumb
But it feels like there was something
From the moment that we touched
'Cause, it's alright, it's alright
I wanna make you mine

The way you're lightin' up the room
Caught the corner of my eye
We can both sneak out the back door
We don't have to say goodbye
'Cause, it's alright, it's alright
To waste time tonight

Maybe I'm just a kid in love
Maybe I'm just a kid in love
Oh, baby
If this is what it's like falling in love
Then I don't ever wanna grow up
Maybe I'm just a kid in love
Maybe I'm just a kid in love
Oh, baby
It'd be cool if it's the two of us
But I don't ever wanna grow up

'Cause I got it all
Oh, oh, oh, oh, oh, oh
Yeah
All, oh, oh, oh, oh, oh, oh
And I got it all
Oh, oh, oh, oh, oh, oh
Yeah
All, oh, oh, oh, oh, oh, oh
And I don't ever wanna grow up

Said, your place is kinda cozy
Your parents are out of town
Baby, there's no pressure
But if you're down, I'm down
'Cause, it's alright, it's alright
Just start tonight

If you're feeling kinda crazy
Turn down the lights
We can take our time
Do whatever you like
It's alright, it's alright
I wanna make you mine

Maybe I'm just a kid in love
Maybe I'm just a kid in love
Oh, baby
If this is what it's like falling in love
Then I don't ever wanna grow up
Maybe I'm just a kid in love
Maybe I'm just a kid in love
Oh, baby
It'd be fine if it's the two of us
But I don't ever wanna grow up

'Cause I got it all
Oh, oh, oh, oh, oh, oh
Yeah
All, oh, oh, oh, oh, oh, oh
And I got it all
Oh, oh, oh, oh, oh, oh
Yeah
And I don't ever wanna grow up

'Cause I got it all
Oh, oh, oh, oh, oh, oh
Yeah
All, oh, oh, oh, oh, oh, oh
And I got it all
Oh, oh, oh, oh, oh, oh
Yeah
And I don't ever wanna grow up

You make me feel like I got it all, yeah
'Cause you make me feel like I got it all, yeah
Like I'm just a kid in love
And you make me feel like I got it all, yeah
And you make me feel like I don't ever wanna grow up

Maybe we're just kids in love
Maybe we're just kids in love
Oh baby
If this is what it's like falling in love
Then we don't ever have to grow up
Maybe we're just kids in love
Maybe we're just kids in love
Oh baby
When we're alone and it's the two of us
I can't get enough

I've got it all, yeah
I've got it all, yeah
And I've got it, and I've got it all
I've got it all, and we've got it all
And I've got it all, and I've got it all
But I don't ever wanna grow up",Kid In Love,"[{'score': 0.501726, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.789341, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
31,Handwritten (Deluxe),Shawn Mendes,"Oh, you waited so long
Sometimes it's hard to stand out
But you don't have to do anything else
But be yourself
Oh, you dressed up so nice
But all I could see was your eyes
And the crowd came and pulled you away
And then you were gone
No, yeah

And I don't even know your name
All I remember is that smile on your face
And it'll kill me everyday
'Cause I don't even know your name
I mean where did I go
I see your face and it kills me to know
That you never know what you did to me
And now you were gone

And I don't even know your name
All I remember is that smile on your face
And it'll kill me everyday
'Cause I don't even know your name
I don't even know your name
I'm running, I'm searching

And I don't know where to start
I'm dying my love
You punched a hole right through my heart
I won't stop, stop looking
Till I hold you in my arms
I'm running, I'm running
I'm running

I'm running, I'm searching
And I don't know where to start
I'm dying my love
You punched a hole right through my heart
I won't stop, stop looking
Till I hold you in my arms
I'm running, I'm running
I'm running

And I don't even know your name
All I remember is that smile l on your face
And it'll kill me everyday
'Cause I don't even know your name
And I don't even know your name",I Don't Even Know Your Name,"[{'score': 0.729051, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.597895, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.672158, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
32,Handwritten (Deluxe),Shawn Mendes,"1, 2, 3, 4
Oh wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh wah ah ah oh

Play the lotto you might win it
It's like 25 to life so you bust outta prison
Something's in the air, something's in the air
It's like that feelin' when you're just about to kill it
Take your last show you know you're gonna hit it
Something's in the air, something's in the air
Woah

Something big I feel it happening
Out of my control
Pushing pulling and it's grabbing me
Feel it in my bones
Like oh
Wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh
Something big I feel it happening oh
Wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh
Something big

It's like the feeling when you bout to win the medal
And you worked so hard that you knew you wouldn't settle
Hands are in the air, hands are in the air
When they hear you when you thought they wouldn't listen
It's like an anthem that the whole world's singin'
Hands are in the air, hands are in the air
Woah

Something big I feel it happening
Out of my control
Pushing pulling and it's grabbing me
Feel it in my bones
Like oh
Wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh
Something big I feel it happening oh
Wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh
Something big

Woah
Yeah yeah
If we stomp our feet the ground will shake
If we clap our hands the walls will break
Yell so loud won't forget our names
'Cause something big is happening
Take this pack and start a fire
Raise yourself we're feeling higher
They can't tell us anything
'Cause something big is happening

Something big I feel it happening
Out of my control
Pushing pulling and it's grabbing me
Feel it in my bones
Like oh
Wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh
Something big is happening woah
Wah ah ah oh, wah ah ah ah ah ah ah oh
Wah ah ah oh
Something big I feel it happening oh",Something Big,"[{'score': 0.94855, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
33,Handwritten (Deluxe),Shawn Mendes,"All the strings attached girl
All the strings attached girl, hmm

Met this girl when I was three or so
We were holding hands started going slow
And it felt like an eternity
Said it felt like an eternity
'Cause I knew back then we were more than friends
Two sides of the stories in our defense
And I've said it once, say it again
And it'll only end up burning me

Years flew by I was less than twelve
The only reason I need your help
Can you come on over and work with me
Anytime you like and it'll work with me
'Cause I knew back then if I get you close
When the times is right maybe I'll propose
Baby climb up, go on show me the ropes

Darling I want all the strings attached
I love it when you look at me like that
And you're the only girl that brings me back
'Cause baby I want all the strings attached
It's like always and forever
I won't let the moment pass
And when I'm with you I feel better
I want all the strings, all the strings attached

All the strings attached girl
All the strings attached girl, hmm

So come on girl let me hold your hand
Let's go get lost, without a plan
You know you've got the world to see
You know you mean the world to me
And I know right now you have second thoughts
Do whatever it takes, yeah whatever the cost

And you know me, not the type of guy
To sneak around, to do the time
But you must have me hypnotized
I'd get get get get down to be by your side
Every night, yeah

Darling I want all the strings attached
I love it when you look at me like that
And you're the only girl that brings me back
'Cause baby I want all the strings attached
It's like always and forever
I won't let the moment pass
And when I'm with you I feel better
I want all the strings, all the strings

When you fall down, I fall too
And if you get lost, then I get lost with you
And when the waves crash down
I promise I won't move
'Cause I

All the strings attached
I love it when you look at me like that
And you're the only girl that brings me back
'Cause baby I want all the strings attached
It's like always and forever
I won't let the moment pass
And when I'm with you I feel better
I want all the strings, all the strings attached",Strings,"[{'score': 0.608592, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.854196, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
34,Handwritten (Deluxe),Shawn Mendes,"Remember that one Friday night never forget it
How you let me go
No more lies I'll be fine I know where I'm headed
Probably should've known

Now you're gonna say pretty please forgive me
Told you once told you twice your gonna regret it
Now you're all alone yeah

Turns out that no one can replace me
I'm permanent you can't erase me
I'll have you remember me 
One more kiss is all it takes
I'll leave you with the memory and the aftertaste

Close your eyes you get high
Try to forget me but I'm everywhere
I'm the smell on your sheets you regretted
When you left me there

Now you're gonna say pretty please forgive me yeah
But it hurts it gets worse you know nobody said it would be fair
Oh yeah

Turns out that no one can replace me
I'm permanent you can't erase me
I'll have you remember me
One more kiss is all it takes
I'll leave you with the memory and the aftertaste

And now there's something in your way
'Cause you threw it all to waste
And you wonder if you could take back what you did that day but you can't

Turns out that no one can replace me
I'm permanent you can't erase me
I'll have you remember me 
One more kiss is all it takes
I'll leave you with the memory and the aftertaste

Truth is that no one can replace me 
I'm permanent you can't erase me
I'll have you remember me
One more kiss is all it takes
I'll leave you with the memory and the aftertaste
I'll leave you with the memory and the aftertaste",Aftertaste,"[{'score': 0.660996, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
35,Handwritten (Deluxe),Shawn Mendes,"Shawn:
Never thought that we would end up here
Should've known it from the start
I know you mean it when you say you love me
But we're trying way too hard

Astrid:
Used to think that we would last forever
How could I have been so wrong?
Never thought I'd be the one to say this
What if our time has come and gone?

Both:
You, you don't mean no harm
But you're stringing me along
And I don't have the time to spare
And I, I'm trying hard to breathe
But you're suffocating me
This time I'm coming up for air

Air, air, air, air, air, air
Air, air, air, air, air, air, air

Astrid:
Always trying to put your two cents in
Then expecting me to change
Try to fix me up but I'm not broken
All you do is leave me stained

Shawn:
Told you not to tie me down too quickly
Take it slow, it's not a race
And you keep on trying to reel me in
But all I really need is space

Both:
You, you don't mean no harm
But you're stringing me along
And I don't have the time to spare
And I, I'm trying hard to breathe
But you're suffocating me
This time I'm coming up for air

Air, air, air, air, air, air
Air, air, air, air, air, air, air

Air, air, air, air, air, air
Air, air, air, air, air, air, air

Shawn:
Tried to hold me down
But I'm surfacing
It's hard to let you go
But I gotta leave

Both:
You, you don't mean no harm
But you're stringing me along
And I don't have the time to spare
And I, I'm trying hard to breathe
But you're suffocating me
This time I'm coming up for air

You, you don't mean no harm
But you're stringing me along
And I don't have the time to spare
And I, I'm trying hard to breathe
But you're suffocating me
This time I'm coming up for air

Air, air, air, air, air, air
Air, air, air, air, air, air, air

Air, air, air, air, air, air
Air, air, air, air, air, air, air",Air,"[{'score': 0.540881, 'tone_id': 'anger', 'tone_name': 'Anger'}]"
36,Handwritten (Deluxe),Shawn Mendes,"Think I don't need a watch to tell the time
Think I don't need the sun to help me shine
Think I don't need a girl to be alright
Guess I didn't know

Thought I didn't need shoes on my feet
Thought I didn't need a bed to fall asleep
Thought I didn't need love to be complete
Guess I didn't know

That I just got this crazy feeling
I've been making someone wait for me, for me

You're all I think about when I'm awake
Part of every night and every day
And everything's a mess when you're away
Now I know

All of this is getting really old
I'm having trouble sleeping on my own
Feeling like a house but not a home
I want you to know

That I just got this crazy feeling
I've been making someone wait for me, for me

Guess I need a watch to tell the time
Guess I need the sun to help me shine
And I really need you in my life
Now I know

That you give me this crazy feeling
And you won't have to wait no more for me, for me

And I just got this crazy feeling
I've been making someone wait for me",Crazy,"[{'score': 0.591011, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.718347, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.823335, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
37,Handwritten (Deluxe),Shawn Mendes,"She would not show that she was afraid,
But being and feeling alone was too much to face,
Though everyone said that she was so strong,
What they didn't know is that she could barely carry on,

But she knew that she would be okay,
So she didn't let it get in her way,

Sometimes it all gets a little too much,
But you gotta realize that soon the fog will clear up,
And you don't have to be afraid, because we're all the same,
And we know that sometimes it all gets a little too much,

She would always tell herself she could do this
She would use no help it would be just fine
But when it got hard she would lose her focus
So take my hand and we'll be alright

And she knew that she would be okay,
So she didn't let it get in her way,

Sometimes it all gets a little too much,
But you gotta realize that soon the fog will clear up,
And you don't have to be afraid, because we're all the same,
And we know that sometimes it all gets a little too much, yeah.

A little too much, I said a little too much, oh.

Sometimes it all gets a little too much,
But you gotta realize that soon the fog will clear up,
And you don't have to be afraid, because we're all the same,
And we know that sometimes it all gets a little too much yeah!

Sometimes it all gets a little too much,
But you gotta realize that soon the fog will clear up,
And you don't have to be afraid, because we're all the same,
And we know that sometimes it all gets a little too much.",A Little Too Much,"[{'score': 0.529343, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.724735, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
38,Handwritten (Deluxe),Shawn Mendes,"I watch your troubled eyes as you rest
And I fall in love with every breath
Wonder if those eyes are really shut
And am I the one you're dreaming of?

'Cause underneath the darkness
There's a light that's trying so hard to be seen
And I know this 'cause I've noticed
A little bit shining through the seams

And if this is what it takes
Then let me be the one to bear the pain
Ooh, if this is what it takes
I'll break down these walls that are in our way
If this is what it takes

You keep on telling me I'm wasting time
But to call it wasting time, oh that's a crime
And you think it's crazy what I'm trying to do
Well baby, I'm a fool for you

'Cause underneath the darkness
There's a light that's trying so hard to be seen
And I know this 'cause I've noticed
A little bit shining through the seams, yeah

And if this is what it takes
Then let me be the one to bear the pain
Ooh, if this is what it takes
I'll break down these walls that are in our way

'Cause if you don't understand yet
Then I'll never let you forget
That you don't have to do this on your own
I'll be your shoulder to lean on
I'll be your right when you feel wrong
So come on, take my hand, we're moving on

And if this is what it takes
Then let me be the one to bear the pain
Ooh, and if this is what it takes
I'll break down these walls,
These walls that are in our way
If this is what it takes",This Is What It Takes,"[{'score': 0.54541, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.797436, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
39,Handwritten (Deluxe),Shawn Mendes,"Taking it slow isn't easy
If as far as you go 
Is only half as far as you and I both know, yeah
Coming up from above
A little something and it's only because 
I don't ever wanna see you in love, but I know

That you've been coming off strong lately
And I can feel it, that you've been thinking that maybe
You got a, another shot at me 
Thinking possibly somehow, but not now
And it's been spinning around like a hurricane
And the sound of the thunder that's beating my head to the ground
But I, I know

That I can't go back to this, to her
To what we used to have
It's black and burnt
My God, this is so sad
It'll only make things worse if we bring it back

And I mean, if you believe
That there is something still between you and me
Then baby honestly yeah, you're not the one for me

And I can't go back to this, to her
To what we used to have
It's black and burnt
My God, this is so sad
It'll only make things worse if we bring it back

If we bring it back, oh
If we bring it back, oh
If we bring it back
If we bring it back",Bring It Back,"[{'score': 0.65932, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.83385, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.547992, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
40,Handwritten (Deluxe),Shawn Mendes,"Oh, there she goes again
Every morning, it's the same
You walk on by my house
I wanna call out your name

I wanna tell you how beautiful you are
From where I'm standing
You've got me thinking what we could be 'cause

I keep craving, craving you, don't know it but it's true
Can't get my mouth to say the words they wanna say to you
This is typical of love, I can't wait anymore, I won't wait
I need to tell you how I feel when I see us together forever

In my dreams, you're with me
We'll be everything I want us to be
And from there, who knows?
Maybe this will be the night that we kiss for the first time
Or is that just me and my imagination?

We walk, we laugh, we spend our time
Walking by the ocean side
Our hands are gently intertwined
A feeling I just can't describe

And all this time we spent alone
Thinking we could not belong 
To something so damn beautiful, so damn beautiful

I keep craving, craving you, don't know it but it's true
Can't get my mouth to say the words they wanna say to you
This is typical of love, I can't wait anymore, I won't wait
I need to tell you how I feel when I see us together forever

In my dreams, you're with me
We'll be everything I want us to be
And from there, who knows?
Maybe this will be the night that we kiss for the first time
Or is that just me and my imagination?

Imagination
Imagination

In my dreams, you're with me
We'll be everything I want us to be
And from there, who knows?
Maybe this will be the night that we kiss for the first time
Or is that just me and my imagination?

I keep craving, craving you, don't know it but it's true
Can't get my mouth to say the words they wanna say to you",Imagination,"[{'score': 0.632984, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.805737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
